ID	NGenes	Direction	PValue	FDR	TERM
GO:0042254	288	Up	2.4620370705996003e-34	2.0427521574764883e-30	ribosome biogenesis
GO:0006364	211	Up	5.095040704961511e-33	1.6281562416678852e-29	rRNA processing
GO:0016072	219	Up	5.887029920457582e-33	1.6281562416678852e-29	rRNA metabolic process
GO:0034470	358	Up	2.2961540507775743e-28	4.762797539825383e-25	ncRNA processing
GO:0022613	403	Up	4.794301532287886e-27	7.955663962678519e-24	ribonucleoprotein complex biogenesis
GO:0034660	436	Up	7.153985583784879e-26	9.892769731443856e-23	ncRNA metabolic process
GO:0042273	69	Up	9.171915265693507e-26	1.0871340137065575e-22	ribosomal large subunit biogenesis
GO:0042274	70	Up	2.010227503767159e-20	2.084857199844515e-17	ribosomal small subunit biogenesis
GO:0000470	29	Up	6.1538520279319505e-19	5.2873633292740815e-16	maturation of LSU-rRNA
GO:0030490	48	Up	6.372620621036617e-19	5.2873633292740815e-16	maturation of SSU-rRNA
GO:0042255	60	Up	1.0405113258732706e-17	7.848293155245932e-15	ribosome assembly
GO:0140053	109	Up	4.6352721969491066e-17	3.204904451507228e-14	mitochondrial gene expression
GO:0000462	35	Up	1.549296093154721e-16	9.888084373003631e-14	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0009451	139	Up	2.5579610840141894e-15	1.5159573652904092e-12	RNA modification
GO:0006399	168	Up	3.2616673772999193e-15	1.8041369486304953e-12	tRNA metabolic process
GO:0008033	118	Up	3.733088266923638e-15	1.935839584416589e-12	tRNA processing
GO:0000460	35	Up	4.721413318060227e-15	2.304327429408571e-12	maturation of 5.8S rRNA
GO:0032543	76	Up	2.6204738717336613e-14	1.207892872987455e-11	mitochondrial translation
GO:0000469	27	Up	5.993391656315719e-14	2.617219503813238e-11	cleavage involved in rRNA processing
GO:0000154	31	Up	1.2719404693293308e-12	5.276645037012729e-10	rRNA modification
GO:0000466	24	Up	1.872502189202415e-12	7.398166982767826e-10	maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
