ID	NGenes	Direction	PValue	FDR	TERM
GO:0031638	43	Up	1.720591704607622e-8	1.0354332673261733e-4	zymogen activation
GO:0030198	264	Up	4.6585180515469425e-8	1.0354332673261733e-4	extracellular matrix organization
GO:0043062	265	Up	5.7834034190396137e-8	1.0354332673261733e-4	extracellular structure organization
GO:0035456	35	Up	6.171432004551815e-8	1.0354332673261733e-4	response to interferon-beta
GO:0045229	265	Up	6.239805154430356e-8	1.0354332673261733e-4	external encapsulating structure organization
GO:0042060	279	Up	8.719073565138777e-8	1.2057025561659405e-4	wound healing
GO:0030239	58	Up	1.5830374601660745e-7	1.64180772587474e-4	myofibril assembly
GO:0055002	58	Up	1.5830374601660745e-7	1.64180772587474e-4	striated muscle cell development
GO:0010811	129	Up	1.8837938224775674e-7	1.7366485938995974e-4	positive regulation of cell-substrate adhesion
GO:0034341	95	Up	2.7930992780895837e-7	2.3174344710309277e-4	response to interferon-gamma
GO:1902396	7	Up	7.797669603037465e-7	5.651382228634238e-4	protein localization to bicellular tight junction
GO:0048861	5	Up	8.173627424805455e-7	5.651382228634238e-4	leukemia inhibitory factor signaling pathway
GO:0010634	147	Up	1.1246633117431958e-6	7.177947305794844e-4	positive regulation of epithelial cell migration
GO:0030195	29	Up	1.3358752338658943e-6	7.91696915384666e-4	negative regulation of blood coagulation
GO:0030199	56	Up	1.6536296419719483e-6	8.724993259921563e-4	collagen fibril organization
GO:1900047	30	Up	1.7131675868774881e-6	8.724993259921563e-4	negative regulation of hemostasis
GO:0018126	27	Up	1.7876929663573168e-6	8.724993259921563e-4	protein hydroxylation
GO:0034113	37	Up	2.418089544286003e-6	0.0010625326202347786	heterotypic cell-cell adhesion
GO:0090130	281	Up	2.5851425062648793e-6	0.0010625326202347786	tissue migration
GO:0045214	41	Up	2.6185587062242297e-6	0.0010625326202347786	sarcomere organization
GO:0009100	296	Up	2.756513786477009e-6	0.0010625326202347786	glycoprotein metabolic process
GO:0031589	334	Up	2.817369849965666e-6	0.0010625326202347786	cell-substrate adhesion
GO:0045785	368	Up	3.142512634809904e-6	0.0011336272752616424	positive regulation of cell adhesion
GO:0031032	191	Up	3.4256863721342117e-6	0.001139732347229799	actomyosin structure organization
GO:0007599	119	Up	3.5752545197327794e-6	0.001139732347229799	hemostasis
GO:0010631	277	Up	3.941405852509073e-6	0.001139732347229799	epithelial cell migration
GO:0007596	116	Up	4.04792660458529e-6	0.001139732347229799	blood coagulation
GO:0090132	279	Up	4.407542930605104e-6	0.001139732347229799	epithelium migration
GO:0035458	28	Up	4.7258233078396355e-6	0.001139732347229799	cellular response to interferon-beta
GO:0048771	169	Up	4.7719738717788925e-6	0.001139732347229799	tissue remodeling
GO:0050819	31	Up	4.810657331756891e-6	0.001139732347229799	negative regulation of coagulation
GO:0003253	10	Up	4.830833298192468e-6	0.001139732347229799	cardiac neural crest cell migration involved in outflow tract morphogenesis
GO:0061138	210	Up	4.848289297746088e-6	0.001139732347229799	morphogenesis of a branching epithelium
GO:0000768	46	Up	5.3501817930151225e-6	0.001139732347229799	syncytium formation by plasma membrane fusion
GO:0140253	46	Up	5.3501817930151225e-6	0.001139732347229799	cell-cell fusion
GO:1901342	248	Up	5.412550065739863e-6	0.001139732347229799	regulation of vasculature development
GO:0061041	96	Up	5.490547381780244e-6	0.001139732347229799	regulation of wound healing
GO:0097529	140	Up	5.8515074544354105e-6	0.001139732347229799	myeloid leukocyte migration
GO:0010810	210	Up	5.898782145799925e-6	0.001139732347229799	regulation of cell-substrate adhesion
GO:0006949	48	Up	5.954553591034284e-6	0.001139732347229799	syncytium formation
GO:0001525	462	Up	6.299070687481799e-6	0.001139732347229799	angiogenesis
GO:0030335	497	Up	6.394417452933096e-6	0.001139732347229799	positive regulation of cell migration
GO:0045766	139	Up	6.409710563909588e-6	0.001139732347229799	positive regulation of angiogenesis
GO:1904018	139	Up	6.409710563909588e-6	0.001139732347229799	positive regulation of vasculature development
GO:0002526	54	Up	6.448357124961917e-6	0.001139732347229799	acute inflammatory response
GO:0034446	105	Up	6.5618723673644665e-6	0.001139732347229799	substrate adhesion-dependent cell spreading
GO:0021516	21	Down	6.576826840091829e-6	0.001139732347229799	dorsal spinal cord development
GO:0045765	245	Up	6.692691665900298e-6	0.001139732347229799	regulation of angiogenesis
GO:0002755	11	Up	6.7309732450596775e-6	0.001139732347229799	MyD88-dependent toll-like receptor signaling pathway
GO:0009611	384	Up	6.9753180340273735e-6	0.0011574842745665024	response to wounding
GO:0071346	79	Up	7.316870482796241e-6	0.001190354399916871	cellular response to interferon-gamma
GO:0050817	119	Up	8.122125476120211e-6	0.0012959475976032577	coagulation
GO:0071674	117	Up	8.576380798965293e-6	0.0013283834868345733	mononuclear cell migration
GO:0072124	9	Up	8.645619897440877e-6	0.0013283834868345733	regulation of glomerular mesangial cell proliferation
GO:0042742	123	Up	9.95098594769263e-6	0.001501151461963741	defense response to bacterium
GO:0042359	6	Up	1.0394698526083444e-5	0.0015309206825311942	vitamin D metabolic process
GO:0043297	64	Up	1.0517353128152112e-5	0.0015309206825311942	apical junction assembly
GO:0010595	104	Up	1.1565317104994817e-5	0.0016257045059576366	positive regulation of endothelial cell migration
GO:1900046	46	Up	1.1680123110547005e-5	0.0016257045059576366	regulation of hemostasis
GO:0030193	44	Up	1.175633004187757e-5	0.0016257045059576366	regulation of blood coagulation
GO:0002062	111	Up	1.3031196775643395e-5	0.0017724563876641516	chondrocyte differentiation
GO:0002698	84	Up	1.464811400048455e-5	0.0019602484171293596	negative regulation of immune effector process
GO:0120193	66	Up	1.6998507514701968e-5	0.0022386764579282897	tight junction organization
GO:1901341	7	Up	1.7715650278719268e-5	0.0022966679744145903	positive regulation of store-operated calcium channel activity
GO:0050818	48	Up	1.8315251037712804e-5	0.0023378713516908176	regulation of coagulation
GO:0048791	21	Down	1.865848828943706e-5	0.002345598141476656	calcium ion-regulated exocytosis of neurotransmitter
GO:0007520	33	Up	1.9444071781513888e-5	0.002407872590615235	myoblast fusion
GO:0009225	31	Up	2.0951981009841317e-5	0.0025564498005684324	nucleotide-sugar metabolic process
GO:0098911	11	Up	2.1449786770786552e-5	0.002579259142568348	regulation of ventricular cardiac muscle cell action potential
GO:0060445	25	Up	2.351288584534326e-5	0.0027242522116688265	branching involved in salivary gland morphogenesis
GO:0007160	198	Up	2.3554227148287408e-5	0.0027242522116688265	cell-matrix adhesion
