ID	NGenes	Direction	PValue	FDR	TERM
GO:0042254	288	Up	6.636022651396104e-13	5.5059079938633475e-9	ribosome biogenesis
GO:0006364	211	Up	6.207700947312701e-12	1.990705741205632e-8	rRNA processing
GO:0016072	219	Up	7.197923615302996e-12	1.990705741205632e-8	rRNA metabolic process
GO:0042273	69	Up	4.011857523478471e-11	8.321595468075219e-8	ribosomal large subunit biogenesis
GO:0007416	180	Down	2.441059095342521e-10	3.839313871492244e-7	synapse assembly
GO:0060078	110	Down	2.776411140045012e-10	3.839313871492244e-7	regulation of postsynaptic membrane potential
GO:0098930	65	Down	3.6364784646759087e-10	4.310265974488002e-7	axonal transport
GO:0007215	44	Down	5.441667973066493e-10	5.643689896566586e-7	glutamate receptor signaling pathway
GO:0099601	61	Down	7.542648509018092e-10	6.083425088590008e-7	regulation of neurotransmitter receptor activity
GO:0097120	73	Down	7.871839869620931e-10	6.083425088590008e-7	receptor localization to synapse
GO:0034470	358	Up	8.065285762864901e-10	6.083425088590008e-7	ncRNA processing
GO:0050808	459	Down	9.397685321386825e-10	6.497716259295541e-7	synapse organization
GO:0034660	436	Up	1.5571636024464255e-9	9.460165537948681e-7	ncRNA metabolic process
GO:0035418	83	Down	1.6791660278049385e-9	9.460165537948681e-7	protein localization to synapse
GO:0042255	60	Up	1.760127483808086e-9	9.460165537948681e-7	ribosome assembly
GO:2000311	25	Down	1.824305756383981e-9	9.460165537948681e-7	regulation of AMPA receptor activity
GO:0140053	109	Up	2.3171928824627007e-9	1.1309264321054721e-6	mitochondrial gene expression
GO:0008088	84	Down	2.761447009766188e-9	1.2728736577794477e-6	axo-dendritic transport
GO:0099565	95	Down	4.173429101724452e-9	1.8224705924740936e-6	chemical synaptic transmission, postsynaptic
GO:0035249	103	Down	6.2193228634025854e-9	2.5800860898825625e-6	synaptic transmission, glutamatergic
GO:0097479	58	Down	6.948186805223807e-9	2.6317472986466143e-6	synaptic vesicle localization
GO:0099111	198	Down	6.9782379860462235e-9	2.6317472986466143e-6	microtubule-based transport
GO:0048168	65	Down	7.69970121255836e-9	2.7775835200259444e-6	regulation of neuronal synaptic plasticity
GO:0050803	256	Down	8.181459446529751e-9	2.828398709494056e-6	regulation of synapse structure or activity
GO:0042274	70	Up	9.340386060669446e-9	3.099887325814976e-6	ribosomal small subunit biogenesis
GO:0032543	76	Up	1.1568074668624378e-8	3.6915505971375567e-6	mitochondrial translation
GO:0048813	181	Down	1.3305906948356681e-8	3.9333538770789195e-6	dendrite morphogenesis
GO:0099177	469	Down	1.3387141403027858e-8	3.9333538770789195e-6	regulation of trans-synaptic signaling
GO:0050804	468	Down	1.374801282816544e-8	3.9333538770789195e-6	modulation of chemical synaptic transmission
GO:0022613	403	Up	1.4684183961094548e-8	4.053744399675299e-6	ribonucleoprotein complex biogenesis
GO:0050807	249	Down	1.5145965576706555e-8	4.053744399675299e-6	regulation of synapse organization
GO:0008089	51	Down	2.1774691328385124e-8	5.645769185987855e-6	anterograde axonal transport
GO:0099068	31	Down	2.521707408567723e-8	6.340183748147394e-6	postsynapse assembly
GO:0010970	164	Down	2.9321924542754604e-8	7.155411997977498e-6	transport along microtubule
GO:0099003	239	Down	3.0488479703135415e-8	7.227511888483273e-6	vesicle-mediated transport in synapse
GO:0099504	213	Down	3.2483266918455605e-8	7.48649071173406e-6	synaptic vesicle cycle
GO:0099519	12	Down	3.356968712107061e-8	7.527775514689808e-6	dense core granule cytoskeletal transport
GO:0048167	214	Down	3.581474524348002e-8	7.819866875925099e-6	regulation of synaptic plasticity
GO:0007269	170	Down	3.9730047494968134e-8	8.241005101643766e-6	neurotransmitter secretion
GO:0099643	170	Down	3.9730047494968134e-8	8.241005101643766e-6	signal release from synapse
GO:0050770	178	Down	4.1315413476256324e-8	8.360828917378018e-6	regulation of axonogenesis
GO:0051965	76	Down	4.9122492743205554e-8	9.704031483104202e-6	positive regulation of synapse assembly
GO:0016079	127	Down	5.604057708867256e-8	1.0813224839644564e-5	synaptic vesicle exocytosis
GO:0035176	50	Down	6.113006197378259e-8	1.1271024982143869e-5	social behavior
GO:0051703	50	Down	6.113006197378259e-8	1.1271024982143869e-5	biological process involved in intraspecies interaction between organisms
GO:0050772	98	Down	1.210234985291918e-7	2.1828955810797922e-5	positive regulation of axonogenesis
GO:0050806	164	Down	1.3577240232107844e-7	2.3758621263355907e-5	positive regulation of synaptic transmission
GO:0098698	27	Down	1.3744893583718013e-7	2.3758621263355907e-5	postsynaptic specialization assembly
GO:0099172	57	Down	1.4489745405970135e-7	2.4534983190476373e-5	presynapse organization
GO:0099084	41	Down	1.721046804399334e-7	2.8559050672202547e-5	postsynaptic specialization organization
GO:1904861	28	Down	1.965428316570435e-7	3.197482106389196e-5	excitatory synapse assembly
GO:0060079	86	Down	2.2349167221229793e-7	3.5659815468181464e-5	excitatory postsynaptic potential
GO:0097091	18	Down	2.3101774132233574e-7	3.6165173580215465e-5	synaptic vesicle clustering
GO:0051963	113	Down	2.4616920044719364e-7	3.782344177982159e-5	regulation of synapse assembly
GO:0099054	51	Down	2.543524624206114e-7	3.837022510370568e-5	presynapse assembly
GO:0002181	91	Up	2.8017368682610713e-7	4.151073356421805e-5	cytoplasmic translation
GO:0007612	165	Down	2.9476455259039554e-7	4.270338813201626e-5	learning
GO:0032253	14	Down	3.057158329968024e-7	4.270338813201626e-5	dense core granule localization
GO:1901950	14	Down	3.057158329968024e-7	4.270338813201626e-5	dense core granule transport
GO:0106027	106	Down	3.0881080968072506e-7	4.270338813201626e-5	neuron projection organization
GO:0048172	21	Down	3.326478937380631e-7	4.524556679253622e-5	regulation of short-term neuronal synaptic plasticity
GO:0072384	82	Down	3.6307070071874534e-7	4.8587058126829516e-5	organelle transport along microtubule
GO:0007018	331	Down	3.720730290602565e-7	4.900142733512616e-5	microtubule-based movement
GO:0008090	24	Down	3.8022841811742814e-7	4.929304976750471e-5	retrograde axonal transport
GO:0030534	168	Down	4.1174949185648644e-7	5.255823898358874e-5	adult behavior
