ENSEMBL	logFC	logCPM	F	PValue	FDR	external_gene_name	description
ENSMUSG00000000001	0.04178651144283588	7.864227302540786	0.2530768551989144	0.6206329189044058	0.7321853004361897	Gnai3	guanine nucleotide binding protein (G protein), alpha inhibiting 3 [Source:MGI Symbol;Acc:MGI:95773]
ENSMUSG00000000028	-0.11195327141695309	5.246026207710076	0.7669125873060829	0.39198693900345694	0.5327695860643045	Cdc45	cell division cycle 45 [Source:MGI Symbol;Acc:MGI:1338073]
ENSMUSG00000000031	1.0730190557796446	10.58690576947007	7.611683824327065	0.012450535385233306	0.04378162562823056	H19	H19, imprinted maternally expressed transcript [Source:MGI Symbol;Acc:MGI:95891]
ENSMUSG00000000037	0.5171590525696159	1.643488205237018	5.290305529887833	0.032808981349902525	0.08835341321023639	Scml2	Scm polycomb group protein like 2 [Source:MGI Symbol;Acc:MGI:1340042]
ENSMUSG00000000056	0.2793307767261883	5.715193289815954	2.568137655304089	0.12544590864917438	0.23447941984858992	Narf	nuclear prelamin A recognition factor [Source:MGI Symbol;Acc:MGI:1914858]
ENSMUSG00000000058	1.4990132065380326	0.7618453870951275	9.875048604836689	0.005337375186545091	0.024001834265065167	Cav2	caveolin 2 [Source:MGI Symbol;Acc:MGI:107571]
ENSMUSG00000000078	-0.12235502437373562	7.258365175569482	0.21615728498149814	0.6472404298608263	0.7535283743826106	Klf6	Kruppel-like factor 6 [Source:MGI Symbol;Acc:MGI:1346318]
ENSMUSG00000000085	0.20236227888150737	4.368494353703672	3.5152124286341615	0.07608629472568156	0.16340789437959333	Scmh1	sex comb on midleg homolog 1 [Source:MGI Symbol;Acc:MGI:1352762]
ENSMUSG00000000088	-0.10987281142719145	7.059793859652237	1.3992972067471419	0.25126746272782835	0.38802478241408656	Cox5a	cytochrome c oxidase subunit 5A [Source:MGI Symbol;Acc:MGI:88474]
ENSMUSG00000000093	-1.090533477808032	4.155375205596952	6.369732006722077	0.020621933056070813	0.06330490345259693	Tbx2	T-box 2 [Source:MGI Symbol;Acc:MGI:98494]
ENSMUSG00000000094	-2.2700126799338682	0.22238698158735962	29.984203942496965	2.7206595680508836e-5	7.599018696645928e-4	Tbx4	T-box 4 [Source:MGI Symbol;Acc:MGI:102556]
ENSMUSG00000000120	0.9190268382581986	5.409477528963552	9.647015023927045	0.005791218703705486	0.025523733211198843	Ngfr	nerve growth factor receptor (TNFR superfamily, member 16) [Source:MGI Symbol;Acc:MGI:97323]
ENSMUSG00000000125	-2.1922724172110337	4.369336624548955	14.006882211293934	0.0013689927317585189	0.009325324329750856	Wnt3	wingless-type MMTV integration site family, member 3 [Source:MGI Symbol;Acc:MGI:98955]
ENSMUSG00000000126	-0.2754128919786557	3.798203943698833	0.4105862939407524	0.5292861340956652	0.657089768443588	Wnt9a	wingless-type MMTV integration site family, member 9A [Source:MGI Symbol;Acc:MGI:2446084]
ENSMUSG00000000127	0.12188580681304984	4.842591995709336	0.888884867175272	0.35748038262727166	0.4989990806027186	Fer	fer (fms/fps related) protein kinase [Source:MGI Symbol;Acc:MGI:105917]
ENSMUSG00000000131	-0.17902008710149683	6.282612889608855	3.1214371594982206	0.09314525277362644	0.18948298396892957	Xpo6	exportin 6 [Source:MGI Symbol;Acc:MGI:2429950]
ENSMUSG00000000134	-0.22192710992672193	5.502329165284057	1.4772767121399035	0.23901234323014872	0.3746592163421226	Tfe3	transcription factor E3 [Source:MGI Symbol;Acc:MGI:98511]
