ID	NGenes	Direction	PValue	FDR	TERM
GO:0042254	288	Down	2.6764916620143607e-16	2.1848201437023227e-12	ribosome biogenesis
GO:1990830	122	Down	2.735894065467396e-15	7.526050266196161e-12	cellular response to leukemia inhibitory factor
GO:0006364	211	Down	2.7659133650114517e-15	7.526050266196161e-12	rRNA processing
GO:1990823	123	Down	4.514025811362654e-15	7.61226760546694e-12	response to leukemia inhibitory factor
GO:0016072	218	Down	4.662665444975463e-15	7.61226760546694e-12	rRNA metabolic process
GO:0042273	69	Down	1.1957372802659638e-13	1.6268005698018437e-10	ribosomal large subunit biogenesis
GO:0043046	14	Down	8.711805158488437e-13	1.0159209358391587e-9	DNA methylation involved in gamete generation
GO:0034660	434	Down	1.4147008548487715e-12	1.4435253847663152e-9	ncRNA metabolic process
GO:0034470	358	Down	7.2027148387286e-12	6.53286235872684e-9	ncRNA processing
GO:0034587	11	Down	1.2389181050931012e-11	1.0113288491874984e-8	piRNA metabolic process
GO:0042255	60	Down	4.932831384918925e-11	3.4581614858713175e-8	ribosome assembly
GO:0022613	403	Down	5.244372132975011e-11	3.4581614858713175e-8	ribonucleoprotein complex biogenesis
GO:0002181	91	Down	5.79729834807818e-11	3.4581614858713175e-8	cytoplasmic translation
GO:0030199	56	Up	5.930939703809683e-11	3.4581614858713175e-8	collagen fibril organization
GO:0042274	70	Down	4.804020636736696e-10	2.61434803051211e-7	ribosomal small subunit biogenesis
GO:0007140	42	Down	1.315285623285076e-9	6.710422839297548e-7	male meiotic nuclear division
GO:0000470	29	Down	3.145952264306086e-9	1.5106122549135635e-6	maturation of LSU-rRNA
GO:0007127	101	Down	1.2042990547298183e-8	5.461496213199726e-6	meiosis I
GO:0061982	106	Down	2.1670542646414503e-8	9.310349453825347e-6	meiosis I cell cycle process
GO:0000027	25	Down	5.4846024911311605e-8	2.238540506755183e-5	ribosomal large subunit assembly
GO:0000959	48	Down	1.26990454632648e-7	4.936300386506217e-5	mitochondrial RNA metabolic process
GO:0006029	68	Up	1.5337318797040867e-7	5.6908424245565725e-5	proteoglycan metabolic process
GO:0045143	49	Down	2.0779358837510693e-7	7.374865486547817e-5	homologous chromosome segregation
GO:0140053	109	Down	2.2711548948236528e-7	7.72476558601895e-5	mitochondrial gene expression
GO:0006399	167	Down	3.1041005306819035e-7	1.013550905278255e-4	tRNA metabolic process
GO:0007129	38	Down	3.259927206910388e-7	1.0234917611542113e-4	homologous chromosome pairing at meiosis
GO:0140013	155	Down	4.3049398239148675e-7	1.3015268067635948e-4	meiotic nuclear division
GO:0000154	31	Down	4.5922678392863355e-7	1.3388100847176555e-4	rRNA modification
GO:0007409	444	Up	6.198600307974604e-7	1.744799114275748e-4	axonogenesis
GO:0097479	58	Up	6.81432649037905e-7	1.85417823803214e-4	synaptic vesicle localization
GO:0030490	48	Down	7.503377387090573e-7	1.975808697123237e-4	maturation of SSU-rRNA
GO:0050770	177	Up	8.98960739676344e-7	2.2931926618681238e-4	regulation of axonogenesis
GO:0070192	58	Down	9.475376196159065e-7	2.343863511795347e-4	chromosome organization involved in meiotic cell cycle
