ID	NGenes	Direction	PValue	FDR	TERM
GO:1990830	126	Down	6.445452585362303e-14	3.6821893781139723e-10	cellular response to leukemia inhibitory factor
GO:1990823	127	Down	8.822785139844189e-14	3.6821893781139723e-10	response to leukemia inhibitory factor
GO:0043046	16	Down	4.324300637667382e-11	1.2031645807536547e-7	DNA methylation involved in gamete generation
GO:0030199	57	Up	7.820566020637966e-11	1.6319566143566276e-7	collagen fibril organization
GO:0042254	288	Down	2.5900247919539275e-10	4.323787387687887e-7	ribosome biogenesis
GO:0034587	13	Down	5.205611945228468e-10	7.241873817803671e-7	piRNA metabolic process
GO:0042273	69	Down	1.0369006734115188e-9	1.2364299887094209e-6	ribosomal large subunit biogenesis
GO:0006364	211	Down	7.015032394379039e-9	7.3193094244852294e-6	rRNA processing
GO:0016072	219	Down	8.042550257359477e-9	7.459018555353284e-6	rRNA metabolic process
GO:0042255	60	Down	1.7446894233218337e-7	1.4562922616467348e-4	ribosome assembly
GO:0034660	437	Down	2.842053411529673e-7	2.003275786122374e-4	ncRNA metabolic process
GO:0000470	29	Down	2.9536312545493396e-7	2.003275786122374e-4	maturation of LSU-rRNA
GO:0007140	48	Down	3.1199934371140364e-7	2.003275786122374e-4	male meiotic nuclear division
GO:0034470	358	Down	8.83941994646944e-7	5.270188449512886e-4	ncRNA processing
GO:0010528	24	Down	1.4099026619036902e-6	7.25662499537691e-4	regulation of transposition
GO:0010529	24	Down	1.4099026619036902e-6	7.25662499537691e-4	negative regulation of transposition
GO:0072189	20	Up	1.477927697632772e-6	7.25662499537691e-4	ureter development
GO:0022613	404	Down	2.100755717013578e-6	9.741671094395742e-4	ribonucleoprotein complex biogenesis
GO:0032196	27	Down	3.6287953283088683e-6	0.0015941870844944277	transposition
GO:0097485	243	Up	4.560150260834732e-6	0.0019031787113593754	neuron projection guidance
GO:0007411	242	Up	5.474611517859895e-6	0.002176027730456026	axon guidance
GO:0002181	91	Down	5.946116084083729e-6	0.0021854914043660397	cytoplasmic translation
GO:0010273	5	Down	6.688930031212294e-6	0.0021854914043660397	detoxification of copper ion
GO:1990169	5	Down	6.688930031212294e-6	0.0021854914043660397	stress response to copper ion
GO:0007351	14	Down	6.8075687688411444e-06	0.0021854914043660397	tripartite regional subdivision
GO:0008595	14	Down	6.8075687688411444e-06	0.0021854914043660397	anterior/posterior axis specification, embryo
GO:0061687	7	Down	1.3668662841637586e-5	0.00397479773536764	detoxification of inorganic compound
