ID	NGenes	Direction	PValue	FDR	TERM
GO:0006364	211	Up	2.465870785536909e-8	1.3130358359593543e-4	rRNA processing
GO:0016072	219	Up	3.165085780304578e-8	1.3130358359593543e-4	rRNA metabolic process
GO:0042254	288	Up	8.059742700266571e-8	2.2290561728037245e-4	ribosome biogenesis
GO:0030049	9	Up	1.7544623991336864e-7	3.639193631403049e-4	muscle filament sliding
GO:0042273	69	Up	2.3073890098603078e-7	3.828881322962195e-4	ribosomal large subunit biogenesis
GO:0034470	358	Up	4.3299486381472576e-7	5.987597308451299e-4	ncRNA processing
GO:0030490	48	Up	7.603897223096731e-7	7.641798818396069e-4	maturation of SSU-rRNA
GO:0000462	35	Up	8.702061226576285e-7	7.641798818396069e-4	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0035249	103	Down	9.82840716784338e-7	7.641798818396069e-4	synaptic transmission, glutamatergic
GO:0033275	11	Up	1.0255282485413205e-6	7.641798818396069e-4	actin-myosin filament sliding
GO:1902460	5	Up	1.1052378669489314e-6	7.641798818396069e-4	regulation of mesenchymal stem cell proliferation
GO:1902462	5	Up	1.1052378669489314e-6	7.641798818396069e-4	positive regulation of mesenchymal stem cell proliferation
GO:0009448	6	Down	6.053881386955891e-6	0.0038637733744286947	gamma-aminobutyric acid metabolic process
GO:0097061	98	Down	7.385636224149174e-6	0.0039461958726677675	dendritic spine organization
GO:0097168	6	Up	7.5190729266932854e-6	0.0039461958726677675	mesenchymal stem cell proliferation
GO:0022613	403	Up	7.609875131093682e-6	0.0039461958726677675	ribonucleoprotein complex biogenesis
GO:0106027	106	Down	8.300368335982271e-6	0.004051068004920289	neuron projection organization
GO:0042274	70	Up	8.875204760864047e-6	0.004090976327827167	ribosomal small subunit biogenesis
GO:0006821	74	Down	1.0775970077702282e-5	0.004705695986036623	chloride transport
GO:0050806	164	Down	1.215406746505569e-5	0.004783506551923237	positive regulation of synaptic transmission
GO:0000469	27	Up	1.2415378392878126e-5	0.004783506551923237	cleavage involved in rRNA processing
GO:0000470	29	Up	1.2683758484067881e-5	0.004783506551923237	maturation of LSU-rRNA
GO:0008033	118	Up	1.3334243419215789e-5	0.004810183376053627	tRNA processing
GO:0060997	72	Down	1.45838262379818e-5	0.005041750262355624	dendritic spine morphogenesis
GO:0048168	65	Down	1.7087969950986538e-5	0.005671155467333412	regulation of neuronal synaptic plasticity
GO:0071805	160	Down	2.0705746557744887e-5	0.006607522276523436	potassium ion transmembrane transport
GO:0015800	56	Down	2.1570024616703385e-5	0.006628388675732889	acidic amino acid transport
GO:0006813	190	Down	2.402267450647728e-5	0.006940203185571462	potassium ion transport
GO:0035725	121	Down	2.4804744021745047e-5	0.006940203185571462	sodium ion transmembrane transport
GO:0032007	42	Down	2.657616147701088e-5	0.006940203185571462	negative regulation of TOR signaling
GO:1902476	41	Down	2.7256920072742825e-5	0.006940203185571462	chloride transmembrane transport
GO:0015812	20	Down	2.8424742322040955e-5	0.006940203185571462	gamma-aminobutyric acid transport
GO:0034660	436	Up	2.8430694966178254e-5	0.006940203185571462	ncRNA metabolic process
GO:0048813	181	Down	2.8440027517106146e-5	0.006940203185571462	dendrite morphogenesis
GO:0061001	55	Down	3.141346257898246e-5	0.007446785686223357	regulation of dendritic spine morphogenesis
GO:0006883	19	Down	3.2353398953200445e-5	0.007456559753186225	cellular sodium ion homeostasis
GO:0042474	25	Up	3.575537821026049e-5	0.007706544934274963	middle ear morphogenesis
GO:0006814	188	Down	3.6121745625738115e-5	0.007706544934274963	sodium ion transport
GO:0051966	71	Down	3.622456941505647e-5	0.007706544934274963	regulation of synaptic transmission, glutamatergic
GO:0048169	35	Down	3.7174647713402106e-5	0.007710951301952432	regulation of long-term neuronal synaptic plasticity
GO:0098661	60	Down	4.4263628906290726e-5	0.008476381713469917	inorganic anion transmembrane transport
GO:0070893	8	Down	4.4951283041180714e-5	0.008476381713469917	transposon integration
GO:0070894	8	Down	4.4951283041180714e-5	0.008476381713469917	regulation of transposon integration
GO:0070895	8	Down	4.4951283041180714e-5	0.008476381713469917	negative regulation of transposon integration
GO:0000966	20	Up	5.06741985029607e-5	0.009343196110645886	RNA 5'-end processing
GO:0016358	298	Down	5.2122506887091335e-5	0.009362244797910578	dendrite development
GO:0099519	12	Down	5.4900136828208614e-5	0.009362244797910578	dense core granule cytoskeletal transport
GO:0000478	15	Up	5.5291068470244465e-5	0.009362244797910578	endonucleolytic cleavage involved in rRNA processing
GO:0000479	15	Up	5.5291068470244465e-5	0.009362244797910578	endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0007611	278	Down	5.9646769174166835e-5	0.009762161928281854	learning or memory
GO:0019228	40	Down	6.0644587422185666e-5	0.009762161928281854	neuronal action potential
GO:0001505	228	Down	6.118264677240646e-5	0.009762161928281854	regulation of neurotransmitter levels
GO:0099550	14	Down	6.456398834107013e-5	0.010107309646525639	trans-synaptic signaling, modulating synaptic transmission
GO:0006836	217	Down	6.653768098919165e-5	0.01022339146606154	neurotransmitter transport
GO:0019226	76	Down	7.484624062325976e-5	0.011095412140834907	transmission of nerve impulse
GO:0140053	109	Up	7.48876798706466e-5	0.011095412140834907	mitochondrial gene expression
GO:0034471	18	Up	7.896785759524756e-5	0.011494672183645069	ncRNA 5'-end processing
GO:2001222	53	Down	8.249617535542173e-5	0.011801220119378175	regulation of neuron migration
GO:0001522	18	Up	9.987498126180273e-5	0.013877267082600451	pseudouridine synthesis
GO:1900006	23	Down	1.003538658498285e-4	0.013877267082600451	positive regulation of dendrite development
GO:0032543	76	Up	1.1190386234579562e-4	0.015220759768574857	mitochondrial translation
GO:0014051	16	Down	1.1746106981258747e-4	0.015718943487661906	gamma-aminobutyric acid secretion
GO:0042255	60	Up	1.1981928736798866e-4	0.01578000995701908	ribosome assembly
GO:0060363	8	Up	1.332104738630687e-4	0.016949347103869767	cranial suture morphogenesis
GO:0021801	24	Down	1.3482667335849158e-4	0.016949347103869767	cerebral cortex radial glia-guided migration
GO:0022030	24	Down	1.3482667335849158e-4	0.016949347103869767	telencephalon glial cell migration
GO:0050808	459	Down	1.3966223021376158e-4	0.017295186926620593	synapse organization
GO:0099175	107	Down	1.4499783981150436e-4	0.017615031656512202	regulation of postsynapse organization
GO:0051932	54	Down	1.4947984349123917e-4	0.017615031656512202	synaptic transmission, GABAergic
GO:0050804	468	Down	1.4971917873799796e-4	0.017615031656512202	modulation of chemical synaptic transmission
GO:0000460	35	Up	1.530043642091191e-4	0.017615031656512202	maturation of 5.8S rRNA
GO:0003009	33	Up	1.5553152342036796e-4	0.017615031656512202	skeletal muscle contraction
GO:0099173	194	Down	1.5592911488228065e-4	0.017615031656512202	postsynapse organization
GO:0099177	469	Down	1.5710646529852994e-4	0.017615031656512202	regulation of trans-synaptic signaling
GO:0007215	44	Down	1.7914734902774532e-4	0.019818474065109372	glutamate receptor signaling pathway
GO:0016339	31	Down	1.8977205659999457e-4	0.020368449789651362	calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules
GO:0007269	170	Down	1.9148355834552321e-4	0.020368449789651362	neurotransmitter secretion
GO:0099643	170	Down	1.9148355834552321e-4	0.020368449789651362	signal release from synapse
GO:0043090	45	Down	2.0032320606482137e-4	0.02102595952472913	amino acid import
GO:0007626	235	Down	2.0273312787493433e-4	0.02102595952472913	locomotory behavior
GO:0009451	139	Up	2.058451669923264e-4	0.021085152475744842	RNA modification
GO:0000466	24	Up	2.15491623390637e-4	0.02179948642014949	maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0045214	41	Up	2.1851108189856663e-4	0.02179948642014949	sarcomere organization
GO:0050890	309	Down	2.2102345273601156e-4	0.02179948642014949	cognition
GO:0003407	64	Down	2.2332847363055403e-4	0.02179948642014949	neural retina development
GO:0035176	50	Down	2.319552814215972e-4	0.022121068620172324	social behavior
GO:0051703	50	Down	2.319552814215972e-4	0.022121068620172324	biological process involved in intraspecies interaction between organisms
GO:0032253	14	Down	2.400878498427172e-4	0.022382122361180052	dense core granule localization
GO:1901950	14	Down	2.400878498427172e-4	0.022382122361180052	dense core granule transport
GO:0099116	15	Up	2.504828954696352e-4	0.022845918603082747	tRNA 5'-end processing
GO:0015698	110	Down	2.507186149931e-4	0.022845918603082747	inorganic anion transport
GO:0007638	14	Down	2.533234315395459e-4	0.022845918603082747	mechanosensory behavior
GO:0007612	165	Down	2.6343521190034917e-4	0.023502386592873088	learning
GO:0032252	19	Down	2.6902688310342134e-4	0.023745915416054118	secretory granule localization
