ID	NGenes	Direction	PValue	FDR	TERM
GO:0042254	288	Up	9.036913275563106e-13	7.497926944734709e-9	ribosome biogenesis
GO:0006364	211	Up	2.2535717103111527e-12	9.348942240225818e-9	rRNA processing
GO:0016072	219	Up	3.794123593115615e-12	1.049328115069342e-8	rRNA metabolic process
GO:0140053	109	Up	5.360340360781411e-12	1.111868599335084e-8	mitochondrial gene expression
GO:0032543	76	Up	1.5366968560130294e-11	2.549994762868021e-8	mitochondrial translation
GO:0048168	65	Down	4.5365196054298824e-11	6.273250527708622e-8	regulation of neuronal synaptic plasticity
GO:0035418	83	Down	1.2824551559039111e-10	1.5200757755049642e-7	protein localization to synapse
GO:0042273	69	Up	2.3276955859802688e-10	2.3065634157357169e-7	ribosomal large subunit biogenesis
GO:0007215	44	Down	2.501997196772502e-10	2.3065634157357169e-7	glutamate receptor signaling pathway
GO:0099068	31	Down	5.618639090759199e-10	4.661784853602908e-7	postsynapse assembly
GO:0035249	103	Down	6.668377487595594e-10	4.6760423707657146e-7	synaptic transmission, glutamatergic
GO:0048172	21	Down	6.868494719353935e-10	4.6760423707657146e-7	regulation of short-term neuronal synaptic plasticity
GO:0050808	459	Down	7.326569943347509e-10	4.6760423707657146e-7	synapse organization
GO:0099504	213	Down	8.434433990517175e-10	4.998607058522929e-7	synaptic vesicle cycle
GO:0034470	358	Up	1.0271587821383005e-9	5.681557610267652e-7	ncRNA processing
GO:0034660	436	Up	1.1783610737470203e-9	6.110538643049392e-7	ncRNA metabolic process
GO:2000311	25	Down	1.4649412529324718e-9	7.149775044459246e-7	regulation of AMPA receptor activity
GO:0007416	180	Down	1.5981870108679728e-9	7.36675423842865e-7	synapse assembly
GO:0097120	73	Down	2.022686521392636e-9	8.69583205148518e-7	receptor localization to synapse
GO:0021819	15	Down	2.1490511381256805e-9	8.69583205148518e-7	layer formation in cerebral cortex
GO:0016082	25	Down	2.307028609682197e-9	8.69583205148518e-7	synaptic vesicle priming
GO:0099003	239	Down	2.3994579647437016e-9	8.69583205148518e-7	vesicle-mediated transport in synapse
GO:0098698	27	Down	2.4105596864428e-9	8.69583205148518e-7	postsynaptic specialization assembly
GO:0099177	469	Down	3.2694342032713645e-9	1.1058971617558416e-6	regulation of trans-synaptic signaling
GO:0050804	468	Down	3.3322199643119247e-9	1.1058971617558416e-6	modulation of chemical synaptic transmission
GO:0042274	70	Up	3.495027319059396e-9	1.1153169871629158e-6	ribosomal small subunit biogenesis
GO:0016079	127	Down	4.740869120527315e-9	1.3683139471150594e-6	synaptic vesicle exocytosis
GO:0007269	170	Down	4.782584604837498e-9	1.3683139471150594e-6	neurotransmitter secretion
GO:0099643	170	Down	4.782584604837498e-9	1.3683139471150594e-6	signal release from synapse
GO:0060074	29	Down	5.6129060599691785e-9	1.552342719318809e-6	synapse maturation
GO:0050803	256	Down	6.149977950064546e-9	1.624883491845063e-6	regulation of synapse structure or activity
GO:0099601	61	Down	6.266876188868508e-9	1.624883491845063e-6	regulation of neurotransmitter receptor activity
