ID	NGenes	Direction	PValue	FDR	TERM
GO:0060539	8	Up	4.491755474893042e-8	3.726809517518757e-4	diaphragm development
GO:0048664	9	Down	1.0754646920291764e-7	4.4615652748830387e-4	neuron fate determination
GO:0021871	26	Down	5.194520182158799e-7	0.001436631131712385	forebrain regionalization
GO:0030206	13	Up	8.909425442262844e-6	0.018480375723613704	chondroitin sulfate biosynthetic process
GO:0070327	7	Down	1.711099969198249e-5	0.028393992888875744	thyroid hormone transport
GO:0006953	19	Up	2.7374149079546453e-5	0.03785388581883282	acute-phase response
GO:2000969	9	Down	5.9502058354301724e-5	0.07052693973794877	positive regulation of AMPA receptor activity
GO:0030204	24	Up	8.895608449696103e-5	0.08317970189063312	chondroitin sulfate metabolic process
GO:0046068	11	Down	9.022746981025648e-5	0.08317970189063312	cGMP metabolic process
GO:0048617	11	Up	1.106865869179756e-4	0.08381496125890615	embryonic foregut morphogenesis
GO:0050650	19	Up	1.111202330779761e-4	0.08381496125890615	chondroitin sulfate proteoglycan biosynthetic process
GO:0007440	12	Up	1.225718192136619e-4	0.08474819866797939	foregut morphogenesis
GO:0009100	296	Up	1.504750704557551e-4	0.09225247268872369	glycoprotein metabolic process
GO:0060575	20	Up	1.5566284411740771e-4	0.09225247268872369	intestinal epithelial cell differentiation
GO:0051891	5	Up	1.783675541595143e-4	0.09687341512714438	positive regulation of cardioblast differentiation
GO:2000311	25	Down	2.023069072196496e-4	0.09687341512714438	regulation of AMPA receptor activity
GO:0009225	31	Up	2.02339464077034e-4	0.09687341512714438	nucleotide-sugar metabolic process
GO:0001867	6	Down	2.2311858605745938e-4	0.09687341512714438	complement activation, lectin pathway
GO:0060677	9	Up	2.2951015706226133e-4	0.09687341512714438	ureteric bud elongation
GO:0021978	15	Down	2.4820102097224475e-4	0.09687341512714438	telencephalon regionalization
GO:0006047	12	Up	2.602974205466556e-4	0.09687341512714438	UDP-N-acetylglucosamine metabolic process
GO:0050654	30	Up	2.72458727438636e-4	0.09687341512714438	chondroitin sulfate proteoglycan metabolic process
GO:0048861	5	Up	2.78625293768162e-4	0.09687341512714438	leukemia inhibitory factor signaling pathway
GO:2000052	14	Down	2.8021718248179647e-4	0.09687341512714438	positive regulation of non-canonical Wnt signaling pathway
GO:0006591	8	Up	4.659244303191476e-4	0.13693079308679929	ornithine metabolic process
GO:0030202	11	Up	4.6645426053515334e-4	0.13693079308679929	heparin metabolic process
GO:0006040	37	Up	4.945526119162713e-4	0.13693079308679929	amino sugar metabolic process
GO:0006486	172	Up	4.9826845342306e-4	0.13693079308679929	protein glycosylation
GO:0043413	172	Up	4.9826845342306e-4	0.13693079308679929	macromolecule glycosylation
GO:0001923	5	Up	5.108526004942481e-4	0.13693079308679929	B-1 B cell differentiation
GO:0098943	7	Down	5.116131837641049e-4	0.13693079308679929	neurotransmitter receptor transport, postsynaptic endosome to lysosome
GO:0021796	8	Down	6.939701694030526e-4	0.17929102523863474	cerebral cortex regionalization
GO:0021516	21	Down	7.13101582846203e-4	0.17929102523863474	dorsal spinal cord development
GO:0060290	8	Up	8.581031480796856e-4	0.2025642269005864	transdifferentiation
GO:0010807	11	Down	8.768491249366084e-4	0.2025642269005864	regulation of synaptic vesicle priming
GO:0014005	6	Up	9.229537848126396e-4	0.2025642269005864	microglia development
GO:1901136	115	Up	9.347423023534765e-4	0.2025642269005864	carbohydrate derivative catabolic process
GO:0021527	13	Down	9.397092045557499e-4	0.2025642269005864	spinal cord association neuron differentiation
GO:0006493	51	Up	9.52151964459789e-4	0.2025642269005864	protein O-linked glycosylation
GO:0070085	188	Up	0.0010000674817595054	0.20743899740396543	glycosylation
GO:0003341	132	Down	0.0010580515072784642	0.21411349648510775	cilium movement
GO:0009193	7	Up	0.0012609951999331766	0.23044056501040044	pyrimidine ribonucleoside diphosphate metabolic process
GO:0046048	7	Up	0.0012609951999331766	0.23044056501040044	UDP metabolic process
GO:0015816	12	Down	0.0012812895104869016	0.23044056501040044	glycine transport
GO:0035082	69	Down	0.0013395367303107803	0.23044056501040044	axoneme assembly
GO:0036302	11	Up	0.0013619378814404943	0.23044056501040044	atrioventricular canal development
GO:0010226	12	Down	0.0014236344036450694	0.23044056501040044	response to lithium ion
GO:0071285	12	Down	0.0014236344036450694	0.23044056501040044	cellular response to lithium ion
GO:0060294	92	Down	0.001430910116048646	0.23044056501040044	cilium movement involved in cell motility
GO:1904953	6	Down	0.0014540555455929735	0.23044056501040044	Wnt signaling pathway involved in midbrain dopaminergic neuron differentiation
GO:0035524	5	Down	0.001461493159789489	0.23044056501040044	proline transmembrane transport
GO:0006182	6	Down	0.001527239580636091	0.23044056501040044	cGMP biosynthetic process
GO:0003289	5	Up	0.0015485211926871735	0.23044056501040044	atrial septum primum morphogenesis
GO:0070286	27	Down	0.0015749333091621663	0.23044056501040044	axonemal dynein complex assembly
GO:0014004	8	Up	0.0015804940272022665	0.23044056501040044	microglia differentiation
GO:0060426	8	Up	0.0016174738627947039	0.23044056501040044	lung vasculature development
GO:0046514	16	Up	0.001625276316352223	0.23044056501040044	ceramide catabolic process
GO:0030901	48	Down	0.0016916551836716864	0.23044056501040044	midbrain development
GO:0016137	15	Up	0.001699865617598861	0.23044056501040044	glycoside metabolic process
GO:0060430	11	Up	0.0017248519254558126	0.23044056501040044	lung saccule development
GO:0070942	8	Up	0.0017384961765652377	0.23044056501040044	neutrophil mediated cytotoxicity
GO:0070943	8	Up	0.0017384961765652377	0.23044056501040044	neutrophil-mediated killing of symbiont cell
GO:0030194	13	Up	0.001918272484055813	0.23044056501040044	positive regulation of blood coagulation
GO:1900048	13	Up	0.001918272484055813	0.23044056501040044	positive regulation of hemostasis
GO:0061323	20	Up	0.0019258427282806425	0.23044056501040044	cell proliferation involved in heart morphogenesis
GO:0098953	10	Down	0.0019314867466843839	0.23044056501040044	receptor diffusion trapping
GO:0098970	10	Down	0.0019314867466843839	0.23044056501040044	postsynaptic neurotransmitter receptor diffusion trapping
GO:0099628	10	Down	0.0019314867466843839	0.23044056501040044	neurotransmitter receptor diffusion trapping
GO:0001539	100	Down	0.001966745623404351	0.23044056501040044	cilium or flagellum-dependent cell motility
GO:0060285	100	Down	0.001966745623404351	0.23044056501040044	cilium-dependent cell motility
GO:0086023	6	Down	0.00197195132165101	0.23044056501040044	adenylate cyclase-activating adrenergic receptor signaling pathway involved in heart process
GO:0042130	52	Up	0.00229080969791709	0.26263950331648	negative regulation of T cell proliferation
GO:1900449	7	Down	0.002321038319668947	0.26263950331648	regulation of glutamate receptor signaling pathway
GO:0009101	245	Up	0.0023434328361600478	0.26263950331648	glycoprotein biosynthetic process
GO:0070528	32	Down	0.002374106634775943	0.26263950331648	protein kinase C signaling
GO:0086013	7	Down	0.0026828348532265734	0.27673602001220077	membrane repolarization during cardiac muscle cell action potential
GO:0009756	6	Down	0.002723334412480118	0.27673602001220077	carbohydrate mediated signaling
GO:0009757	6	Down	0.002723334412480118	0.27673602001220077	hexose mediated signaling
GO:0010182	6	Down	0.002723334412480118	0.27673602001220077	sugar mediated signaling pathway
GO:0010255	6	Down	0.002723334412480118	0.27673602001220077	glucose mediated signaling pathway
GO:1901552	7	Up	0.0027350070677353818	0.27673602001220077	positive regulation of endothelial cell development
GO:1903142	7	Up	0.0027350070677353818	0.27673602001220077	positive regulation of establishment of endothelial barrier
GO:0031424	17	Down	0.002796688962781239	0.2795678111348909	keratinization
GO:0060462	9	Up	0.0028964201796622267	0.2827246850665588	lung lobe development
GO:0060463	9	Up	0.0028964201796622267	0.2827246850665588	lung lobe morphogenesis
GO:0097722	85	Down	0.0029625640226688464	0.28313829880979646	sperm motility
GO:0048341	9	Down	0.0029931618641724825	0.28313829880979646	paraxial mesoderm formation
GO:1905563	6	Up	0.0030030336621986366	0.28313829880979646	negative regulation of vascular endothelial cell proliferation
GO:1903510	60	Up	0.003088631635763167	0.2879368166508651	mucopolysaccharide metabolic process
GO:0030317	83	Down	0.0032238031688171832	0.2938160084683711	flagellated sperm motility
GO:0007494	5	Up	0.0032381716647627984	0.2938160084683711	midgut development
GO:0048566	31	Up	0.003257933322778129	0.2938160084683711	embryonic digestive tract development
GO:0060017	6	Up	0.0033427580179012555	0.2978260238447677	parathyroid gland development
GO:0033278	5	Down	0.0034367088779943427	0.2978260238447677	cell proliferation in midbrain
GO:0071392	22	Down	0.0035569300961455727	0.2978260238447677	cellular response to estradiol stimulus
GO:0015812	20	Down	0.0035802276817620006	0.2978260238447677	gamma-aminobutyric acid transport
