ENSEMBL	logFC	logCPM	F	PValue	FDR	external_gene_name	description
ENSMUSG00000000001	0.03435421811411435	7.864092767513754	0.1075316906410808	0.7487626201122	0.9759052258661549	Gnai3	guanine nucleotide binding protein (G protein), alpha inhibiting 3 [Source:MGI Symbol;Acc:MGI:95773]
ENSMUSG00000000028	0.12446942310950962	5.246650718416706	0.44920845795742353	0.5157157569503972	0.9563629918220665	Cdc45	cell division cycle 45 [Source:MGI Symbol;Acc:MGI:1338073]
ENSMUSG00000000031	0.7120106517896762	10.58392330193934	2.995159195123388	0.11253528745715273	0.8769300825032521	H19	H19, imprinted maternally expressed transcript [Source:MGI Symbol;Acc:MGI:95891]
ENSMUSG00000000037	-0.26945563476954126	1.6378707319883243	0.6454918944921363	0.4377393876069282	0.951283868910972	Scml2	Scm polycomb group protein like 2 [Source:MGI Symbol;Acc:MGI:1340042]
ENSMUSG00000000056	-0.46915078701803964	5.716185179411857	9.73611190823864	0.009093736399851136	0.8439071592426671	Narf	nuclear prelamin A recognition factor [Source:MGI Symbol;Acc:MGI:1914858]
ENSMUSG00000000058	1.1503885832487806	0.7252311559251803	5.317584747169046	0.04026725208006586	0.8488599348601618	Cav2	caveolin 2 [Source:MGI Symbol;Acc:MGI:107571]
ENSMUSG00000000078	-0.6285351624837894	7.257508293686239	3.262825456437523	0.0993644685235286	0.8680847775852479	Klf6	Kruppel-like factor 6 [Source:MGI Symbol;Acc:MGI:1346318]
ENSMUSG00000000085	-0.012487659829067112	4.367626081242217	0.005323680412038991	0.9430669939516323	0.9946341474756429	Scmh1	sex comb on midleg homolog 1 [Source:MGI Symbol;Acc:MGI:1352762]
ENSMUSG00000000088	0.1771021097920403	7.060419509204901	1.5669665772715207	0.23508377074312606	0.9028075919062457	Cox5a	cytochrome c oxidase subunit 5A [Source:MGI Symbol;Acc:MGI:88474]
ENSMUSG00000000093	0.4620247328688035	4.157178993839887	0.4798570379571878	0.5034120315086188	0.9562149180468896	Tbx2	T-box 2 [Source:MGI Symbol;Acc:MGI:98494]
ENSMUSG00000000094	-0.0074305470053345375	0.2372190607998366	1.4067203021635473e-4	0.9907378655205783	0.9987627620878363	Tbx4	T-box 4 [Source:MGI Symbol;Acc:MGI:102556]
