ID	NGenes	Direction	PValue	FDR	TERM
GO:0048168	65	Down	7.290631822408477e-12	6.049037223052313e-8	regulation of neuronal synaptic plasticity
GO:0035418	83	Down	1.4045528037825883e-10	5.826787306492068e-7	protein localization to synapse
GO:0099601	61	Down	2.554770688015461e-10	7.065644132821427e-7	regulation of neurotransmitter receptor activity
GO:0048172	21	Down	4.700455890883607e-10	9.74992063166532e-7	regulation of short-term neuronal synaptic plasticity
GO:0042254	288	Up	7.235065328779226e-10	1.200586740657625e-6	ribosome biogenesis
GO:0060078	110	Down	1.2814145899960912e-9	1.5526018779380476e-6	regulation of postsynaptic membrane potential
GO:0099565	95	Down	1.3098967271985458e-9	1.5526018779380476e-6	chemical synaptic transmission, postsynaptic
GO:2000311	25	Down	3.2483444044062825e-9	2.8588479484771188e-6	regulation of AMPA receptor activity
GO:0006364	211	Up	3.2563831345534535e-9	2.8588479484771188e-6	rRNA processing
GO:0097120	73	Down	3.4456405308872105e-9	2.8588479484771188e-6	receptor localization to synapse
GO:0035176	50	Down	5.529373243709975e-9	3.7856434981939738e-6	social behavior
GO:0051703	50	Down	5.529373243709975e-9	3.7856434981939738e-6	biological process involved in intraspecies interaction between organisms
GO:0016072	219	Up	5.93146504477783e-9	3.7856434981939738e-6	rRNA metabolic process
GO:0048167	214	Down	1.0592505525177616e-8	6.277572738742763e-6	regulation of synaptic plasticity
GO:2000463	37	Down	1.557086072691877e-8	7.889498114463193e-6	positive regulation of excitatory postsynaptic potential
GO:0050808	459	Down	1.5723395820410654e-8	7.889498114463193e-6	synapse organization
GO:0098930	65	Down	1.616505579677887e-8	7.889498114463193e-6	axonal transport
GO:0021819	15	Down	2.370511966427514e-8	1.092674321413838e-5	layer formation in cerebral cortex
GO:0060079	86	Down	2.9717586123034767e-8	1.2977200634885235e-5	excitatory postsynaptic potential
GO:0048813	181	Down	3.8919208158875786e-8	1.4990425304230155e-5	dendrite morphogenesis
GO:0099177	469	Down	3.938990648140478e-8	1.4990425304230155e-5	regulation of trans-synaptic signaling
GO:0050804	468	Down	3.9748024188630036e-8	1.4990425304230155e-5	modulation of chemical synaptic transmission
GO:0008088	84	Down	4.889211549510442e-8	1.763729922882093e-5	axo-dendritic transport
GO:0007416	180	Down	5.934608500954378e-8	2.0232110026601232e-5	synapse assembly
GO:0099003	239	Down	6.096212494456199e-8	2.0232110026601232e-5	vesicle-mediated transport in synapse
GO:0007269	170	Down	6.792094049813974e-8	2.0256939203091124e-5	neurotransmitter secretion
GO:0099643	170	Down	6.792094049813974e-8	2.0256939203091124e-5	signal release from synapse
GO:0042273	69	Up	6.836137130125968e-8	2.0256939203091124e-5	ribosomal large subunit biogenesis
GO:0099504	213	Down	8.099834277683641e-8	2.3173905173083162e-5	synaptic vesicle cycle
GO:0032543	76	Up	9.380472787472985e-8	2.5943260905887785e-5	mitochondrial translation
GO:0034470	358	Up	1.0183604274855258e-7	2.7255924086604538e-5	ncRNA processing
GO:0099111	198	Down	1.168297197663838e-7	3.02917557781777e-5	microtubule-based transport
GO:0140053	109	Up	1.26621076355802e-7	3.183560819769968e-5	mitochondrial gene expression
GO:0007215	44	Down	1.374534312972856e-7	3.3542679984517015e-5	glutamate receptor signaling pathway
GO:0098815	56	Down	1.4812729801998543e-7	3.511463404776626e-5	modulation of excitatory postsynaptic potential
GO:0099068	31	Down	1.6732601968058482e-7	3.7525290608297555e-5	postsynapse assembly
GO:0045956	17	Down	1.7315573161767124e-7	3.7525290608297555e-5	positive regulation of calcium ion-dependent exocytosis
GO:0016079	127	Down	1.7564132393212396e-7	3.7525290608297555e-5	synaptic vesicle exocytosis
GO:0060074	29	Down	1.7638740915072973e-7	3.7525290608297555e-5	synapse maturation
GO:0016082	25	Down	1.8747812486528395e-7	3.8887650050181525e-5	synaptic vesicle priming
GO:0050806	164	Down	2.0665780316231798e-7	4.18204827521403e-5	positive regulation of synaptic transmission
GO:0010970	164	Down	2.1585432497878551e-7	4.264150796069008e-5	transport along microtubule
GO:0021801	24	Down	2.2817890718680843e-7	4.3027281657476124e-5	cerebral cortex radial glia-guided migration
GO:0022030	24	Down	2.2817890718680843e-7	4.3027281657476124e-5	telencephalon glial cell migration
GO:0099072	90	Down	2.675354967427408e-7	4.9327600366100445e-5	regulation of postsynaptic membrane neurotransmitter receptor levels
GO:0034660	436	Up	2.872690385934925e-7	5.1564444601559e-5	ncRNA metabolic process
GO:0042274	70	Up	2.920970105186541e-7	5.1564444601559e-5	ribosomal small subunit biogenesis
GO:0035249	103	Down	3.1456928016283375e-7	5.437461078147982e-5	synaptic transmission, glutamatergic
GO:0010807	11	Down	3.351656941309122e-7	5.675244416743222e-5	regulation of synaptic vesicle priming
GO:0050770	178	Down	3.562694947960967e-7	5.9119359966464284e-5	regulation of axonogenesis
GO:1990138	188	Down	3.854276552348504e-7	6.270378932320693e-5	neuron projection extension
GO:0050803	256	Down	4.1619817348552863e-7	6.640762010402752e-5	regulation of synapse structure or activity
GO:0072384	82	Down	4.7650327549273773e-7	7.459523918421216e-5	organelle transport along microtubule
GO:0098698	27	Down	4.996214818238669e-7	7.493000606973298e-5	postsynaptic specialization assembly
GO:0007612	165	Down	5.198868529050095e-7	7.493000606973298e-5	learning
GO:0099519	12	Down	5.39566931632669e-7	7.493000606973298e-5	dense core granule cytoskeletal transport
GO:0098840	14	Down	5.404376844619321e-7	7.493000606973298e-5	protein transport along microtubule
GO:0099118	14	Down	5.404376844619321e-7	7.493000606973298e-5	microtubule-based protein transport
GO:0098953	10	Down	5.597322145854659e-7	7.493000606973298e-5	receptor diffusion trapping
GO:0098970	10	Down	5.597322145854659e-7	7.493000606973298e-5	postsynaptic neurotransmitter receptor diffusion trapping
GO:0099628	10	Down	5.597322145854659e-7	7.493000606973298e-5	neurotransmitter receptor diffusion trapping
GO:0006836	217	Down	5.599204985324147e-7	7.493000606973298e-5	neurotransmitter transport
GO:0032252	19	Down	6.241231269358007e-7	8.219602514581491e-5	secretory granule localization
GO:0097479	58	Down	6.494862656391305e-7	8.419980540637291e-5	synaptic vesicle localization
GO:0099084	41	Down	7.564460002262975e-7	9.611652693124107e-5	postsynaptic specialization organization
GO:0034643	24	Down	7.761609382178079e-7	9.611652693124107e-5	establishment of mitochondrion localization, microtubule-mediated
GO:0047497	24	Down	7.761609382178079e-7	9.611652693124107e-5	mitochondrion transport along microtubule
GO:0106027	106	Down	7.92852581657605e-7	9.67396745590169e-5	neuron projection organization
GO:0001505	228	Down	8.144898630307548e-7	9.793945497921989e-5	regulation of neurotransmitter levels
GO:0042255	60	Up	8.578320744397957e-7	1.0167761030895692e-4	ribosome assembly
GO:0007018	331	Down	8.764117639020475e-7	1.0241673809993365e-4	microtubule-based movement
GO:0021799	36	Down	9.37760008064976e-7	1.0746359645982225e-4	cerebral cortex radially oriented cell migration
GO:0008306	99	Down	9.455035002491291e-7	1.0746359645982225e-4	associative learning
GO:2000969	9	Down	9.635158451476871e-7	1.0763976683637649e-4	positive regulation of AMPA receptor activity
GO:0031111	47	Down	9.730001823223137e-7	1.0763976683637649e-4	negative regulation of microtubule polymerization or depolymerization
GO:0050772	98	Down	9.938657615754243e-7	1.0850137136567494e-4	positive regulation of axonogenesis
GO:0098962	21	Down	1.105705757161746e-6	1.1914338528793514e-4	regulation of postsynaptic neurotransmitter receptor activity
GO:0008089	51	Down	1.1898484488631969e-6	1.265663151309993e-4	anterograde axonal transport
GO:0001522	18	Up	1.2321161703909566e-6	1.2830816479986155e-4	pseudouridine synthesis
GO:0030705	192	Down	1.237152366396158e-6	1.2830816479986155e-4	cytoskeleton-dependent intracellular transport
GO:0022613	403	Up	1.2901424875549656e-6	1.3207500432785944e-4	ribonucleoprotein complex biogenesis
GO:0050807	249	Down	1.3053091906574031e-6	1.3207500432785944e-4	regulation of synapse organization
GO:1902414	116	Down	1.3414622298679024e-6	1.3268684892445956e-4	protein localization to cell junction
