ID	NGenes	Direction	PValue	FDR	TERM
GO:0042254	288	Up	1.2811460061800695e-36	8.121415814529527e-33	ribosome biogenesis
GO:0006364	211	Up	1.9576752596190255e-36	8.121415814529527e-33	rRNA processing
GO:0016072	219	Up	4.3927941385440295e-36	1.2149004322499936e-32	rRNA metabolic process
GO:0034470	358	Up	6.26775931540991e-31	1.3000899759989006e-27	ncRNA processing
GO:0022613	403	Up	1.237154820988211e-30	2.0529347099478376e-27	ribonucleoprotein complex biogenesis
GO:0034660	436	Up	3.237018229556932e-28	4.476256708438977e-25	ncRNA metabolic process
GO:0042273	69	Up	2.7011164222450495e-25	3.2015947079095966e-22	ribosomal large subunit biogenesis
GO:0042274	70	Up	2.0106448644168926e-22	2.0852900550083698e-19	ribosomal small subunit biogenesis
GO:0030490	48	Up	2.5331350669212174e-21	2.3352690722494822e-18	maturation of SSU-rRNA
GO:0000470	29	Up	4.4616149723877644e-20	3.701801942590128e-17	maturation of LSU-rRNA
GO:0000462	35	Up	5.903994728554607e-18	4.4532222057106885e-15	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0140053	109	Up	2.521378727108252e-16	1.7433232749014303e-13	mitochondrial gene expression
GO:0042255	60	Up	3.0988158613932265e-16	1.9777596309215079e-13	ribosome assembly
GO:0000460	35	Up	6.284530253874572e-16	3.7244819654569514e-13	maturation of 5.8S rRNA
GO:0006399	168	Up	3.054493436294909e-15	1.6895421360625906e-12	tRNA metabolic process
GO:0009451	139	Up	6.407919661654351e-15	3.3229068395466345e-12	RNA modification
GO:0008033	118	Up	8.832803878651706e-15	4.310927869480777e-12	tRNA processing
GO:0071826	174	Up	3.334905269424925e-14	1.4810042823683073e-11	ribonucleoprotein complex subunit organization
GO:0000469	27	Up	3.391476601783517e-14	1.4810042823683073e-11	cleavage involved in rRNA processing
GO:0022618	167	Up	3.793471854239911e-14	1.5737217987314273e-11	ribonucleoprotein complex assembly
GO:0000154	31	Up	4.082267686006574e-14	1.612884523371264e-11	rRNA modification
GO:0032543	76	Up	9.364592629509719e-14	3.531728411229188e-11	mitochondrial translation
GO:0006261	139	Up	1.1276052563593265e-13	4.067713396527536e-11	DNA-dependent DNA replication
GO:0090501	65	Up	2.708883761898085e-13	9.36483690519517e-11	RNA phosphodiester bond hydrolysis
GO:0030199	56	Down	3.133128119261423e-13	1.0398225602204811e-10	collagen fibril organization
GO:0000466	24	Up	4.0067936901662984e-13	1.2786295095119147e-10	maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0000959	48	Up	6.66160146912693e-13	2.047085458864672e-10	mitochondrial RNA metabolic process
GO:0000463	16	Up	1.168758041516074e-12	3.4632805251638804e-10	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0000478	15	Up	1.341699533179404e-12	3.710693675596505e-10	endonucleolytic cleavage involved in rRNA processing
GO:0000479	15	Up	1.341699533179404e-12	3.710693675596505e-10	endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0006397	441	Up	2.841538143039484e-12	7.605239346064064e-10	mRNA processing
GO:0090502	27	Up	4.024409532390457e-12	1.0434539340701131e-9	RNA phosphodiester bond hydrolysis, endonucleolytic
GO:0000375	259	Up	8.384729075296171e-12	1.9876599182209237e-9	RNA splicing, via transesterification reactions
GO:0000377	259	Up	8.384729075296171e-12	1.9876599182209237e-9	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile
GO:0000398	259	Up	8.384729075296171e-12	1.9876599182209237e-9	mRNA splicing, via spliceosome
GO:0001522	18	Up	1.1628521331294476e-11	2.6800511523819518e-9	pseudouridine synthesis
GO:0006270	29	Up	2.3500636959809943e-11	5.269859050149814e-9	DNA replication initiation
GO:0000387	31	Up	3.184918491249753e-11	6.954018084710316e-9	spliceosomal snRNP assembly
