ENSEMBL	logFC	logCPM	F	PValue	FDR	external_gene_name	description
ENSMUSG00000000001	-0.022478506496190643	7.864056706241798	0.022227089102659522	0.8834531761765646	0.9506330478970869	Gnai3	guanine nucleotide binding protein (G protein), alpha inhibiting 3 [Source:MGI Symbol;Acc:MGI:95773]
ENSMUSG00000000028	0.1564341437593723	5.246580243488891	0.8423697586153827	0.37311625160443607	0.6351722318818253	Cdc45	cell division cycle 45 [Source:MGI Symbol;Acc:MGI:1338073]
ENSMUSG00000000031	0.9138275642964888	10.583970421708083	1.4912930023201842	0.24086754206411812	0.5136302420150298	H19	H19, imprinted maternally expressed transcript [Source:MGI Symbol;Acc:MGI:95891]
ENSMUSG00000000037	-0.8645809321172694	1.6427870158627118	6.111494243293734	0.02576832046072544	0.18787019523498089	Scml2	Scm polycomb group protein like 2 [Source:MGI Symbol;Acc:MGI:1340042]
ENSMUSG00000000056	-0.7162584770256581	5.715924646260822	5.89815472062126	0.028189855204952964	0.1962902952563583	Narf	nuclear prelamin A recognition factor [Source:MGI Symbol;Acc:MGI:1914858]
ENSMUSG00000000058	0.7790510863658894	0.7602111240876376	0.9969721298645916	0.33386845348768657	0.6021280728626056	Cav2	caveolin 2 [Source:MGI Symbol;Acc:MGI:107571]
ENSMUSG00000000078	-0.4194443665512706	7.25743413805994	1.4006403938715113	0.2550376575814326	0.5277354209116328	Klf6	Kruppel-like factor 6 [Source:MGI Symbol;Acc:MGI:1346318]
ENSMUSG00000000085	-0.14427424858649365	4.368481168950185	0.5565606049494592	0.46708057957375304	0.7046369784975204	Scmh1	sex comb on midleg homolog 1 [Source:MGI Symbol;Acc:MGI:1352762]
ENSMUSG00000000088	0.19568090824281348	7.060330016509899	1.9455127091903375	0.1832080732698569	0.4503331311493336	Cox5a	cytochrome c oxidase subunit 5A [Source:MGI Symbol;Acc:MGI:88474]
ENSMUSG00000000093	0.668544752104533	4.155307523586298	0.80608104903601	0.3834692676428021	0.6423309746201988	Tbx2	T-box 2 [Source:MGI Symbol;Acc:MGI:98494]
ENSMUSG00000000094	0.20205262414418454	0.22217992291097577	0.04369702414966411	0.8372312068159742	0.9293462047489891	Tbx4	T-box 4 [Source:MGI Symbol;Acc:MGI:102556]
ENSMUSG00000000103	2.0704141881939657	-1.0555107986950778	9.876979256378453	0.006645510236881349	0.12132369138459806	Zfy2	zinc finger protein 2, Y-linked [Source:MGI Symbol;Acc:MGI:99213]
ENSMUSG00000000120	-0.6120488621155704	5.410791718397378	1.2151332612277395	0.287694514316845	0.5592557337815011	Ngfr	nerve growth factor receptor (TNFR superfamily, member 16) [Source:MGI Symbol;Acc:MGI:97323]
