ID	NGenes	Direction	PValue	FDR	TERM
GO:0042254	288	Up	4.662943648322811e-19	3.868844345013437e-15	ribosome biogenesis
GO:0006364	211	Up	4.3921439572688045e-18	1.4967860961931124e-14	rRNA processing
GO:0016072	219	Up	5.412026381317751e-18	1.4967860961931124e-14	rRNA metabolic process
GO:0042273	69	Up	1.2435351208298795e-15	2.5794027243813776e-12	ribosomal large subunit biogenesis
GO:0034470	358	Up	2.5969040555527368e-14	4.3093025897842114e-11	ncRNA processing
GO:0034660	436	Up	3.4532507953349816e-14	4.775270308149057e-11	ncRNA metabolic process
GO:0140053	109	Up	6.439169476515195e-14	7.632255592378082e-11	mitochondrial gene expression
GO:0022613	403	Up	3.8800804747296355e-13	4.024128462353973e-10	ribonucleoprotein complex biogenesis
GO:0032543	76	Up	9.606405356716963e-13	8.856038360520072e-10	mitochondrial translation
GO:0042274	70	Up	1.0862816437610692e-12	9.012878798285592e-10	ribosomal small subunit biogenesis
GO:0042255	60	Up	1.829108230018489e-12	1.3796464531330365e-9	ribosome assembly
GO:0007416	180	Down	3.5065636755823283e-12	2.424496568025548e-9	synapse assembly
GO:0051965	76	Down	1.0851714987661863e-11	6.925898404048498e-9	positive regulation of synapse assembly
GO:0007215	44	Down	2.212152235638487e-11	1.3110162213637518e-8	glutamate receptor signaling pathway
GO:0099068	31	Down	5.604097809924689e-11	3.0998133019296764e-8	postsynapse assembly
GO:0099504	213	Down	1.2597997547054733e-10	6.532849102994571e-8	synaptic vesicle cycle
GO:0035249	103	Down	1.3475411111007016e-10	6.576793293413247e-8	synaptic transmission, glutamatergic
GO:0050808	459	Down	2.135320998176771e-10	9.842643512151483e-8	synapse organization
GO:0002181	91	Up	2.7345537061108873e-10	1.143385081358538e-7	cytoplasmic translation
GO:0035418	83	Down	2.756140969889208e-10	1.143385081358538e-7	protein localization to synapse
GO:0098698	27	Down	3.517903214681658e-10	1.389906808200653e-7	postsynaptic specialization assembly
GO:0099003	239	Down	3.806508349781155e-10	1.411005131340874e-7	vesicle-mediated transport in synapse
GO:0030490	48	Up	3.9114279885308065e-10	1.411005131340874e-7	maturation of SSU-rRNA
GO:0016079	127	Down	4.959293839592353e-10	1.6633612566939502e-7	synaptic vesicle exocytosis
GO:0051963	113	Down	5.082377239486048e-10	1.6633612566939502e-7	regulation of synapse assembly
GO:0050803	256	Down	5.21241324262296e-10	1.6633612566939502e-7	regulation of synapse structure or activity
GO:0097120	73	Down	6.473981653113355e-10	1.9687475330394284e-7	receptor localization to synapse
GO:0060078	110	Down	6.876958196157144e-10	1.9687475330394284e-7	regulation of postsynaptic membrane potential
GO:0097479	58	Down	6.881243637235558e-10	1.9687475330394284e-7	synaptic vesicle localization
GO:0050807	249	Down	8.204907838949342e-10	2.2692040113254228e-7	regulation of synapse organization
GO:0099177	469	Down	9.590532003515326e-10	2.463481890422667e-7	regulation of trans-synaptic signaling
