ID	NGenes	Direction	PValue	FDR	TERM
GO:0006364	211	Up	8.033606809606521e-13	6.6654835699305305e-9	rRNA processing
GO:0016072	219	Up	2.5365600209526996e-12	1.0522919246922275e-8	rRNA metabolic process
GO:0042254	288	Up	1.1788285207407893e-11	3.260246745528776e-8	ribosome biogenesis
GO:0022613	403	Up	8.010060463665557e-11	1.661486791675828e-7	ribonucleoprotein complex biogenesis
GO:0034470	358	Up	2.3031815362458593e-10	3.821899441246379e-7	ncRNA processing
GO:0003009	33	Down	3.0308059777346335e-10	4.1910995328773756e-7	skeletal muscle contraction
GO:0006941	145	Down	5.085761963926296e-10	6.028081002099496e-7	striated muscle contraction
GO:0034660	436	Up	6.56071435788309e-10	6.804280878419499e-7	ncRNA metabolic process
GO:0042274	70	Up	1.1881816083298784e-8	1.044819784990861e-5	ribosomal small subunit biogenesis
GO:0030199	56	Down	1.259274177402508e-8	1.044819784990861e-5	collagen fibril organization
GO:0006270	29	Up	1.5502389026585413e-8	1.1693029250325379e-5	DNA replication initiation
GO:0030490	48	Up	2.1911207550444572e-8	1.3084702322855785e-5	maturation of SSU-rRNA
GO:0030239	58	Down	2.2078562434612633e-8	1.3084702322855785e-5	myofibril assembly
GO:0055002	58	Down	2.2078562434612633e-8	1.3084702322855785e-5	striated muscle cell development
GO:0000470	29	Up	1.4062597088904623e-7	7.778491203109444e-5	maturation of LSU-rRNA
GO:0060048	111	Down	3.549395514210433e-7	1.8405834113377476e-4	cardiac muscle contraction
GO:0006936	265	Down	4.1566663185790914e-7	2.0286976732500423e-4	muscle contraction
GO:0042273	69	Up	4.593692920342084e-7	2.1131098026476122e-4	ribosomal large subunit biogenesis
GO:0034502	91	Up	4.838988339195448e-7	2.1131098026476122e-4	protein localization to chromosome
GO:0000819	176	Up	5.150928113203695e-7	2.136862527762553e-4	sister chromatid segregation
GO:0000070	149	Up	6.088263172337402e-7	2.4054437876611153e-4	mitotic sister chromatid segregation
GO:0006261	139	Up	7.193729610035044e-7	2.7130170261118527e-4	DNA-dependent DNA replication
GO:0045214	41	Down	9.582028148902467e-7	3.456612502236686e-4	sarcomere organization
GO:0071459	25	Up	3.1867315634038566e-6	0.0010551435936805571	protein localization to chromosome, centromeric region
GO:0070252	86	Down	3.2119054210425263e-6	0.0010551435936805571	actin-mediated cell contraction
GO:0000462	35	Up	3.306464196178677e-6	0.0010551435936805571	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0022616	21	Up	3.555959739676929e-6	0.0010927332577814622	DNA strand elongation
GO:0007059	306	Up	3.7471992629022065e-6	0.0011103754387249858	chromosome segregation
GO:0090501	65	Up	4.0938570510725315e-6	0.0011640055974268602	RNA phosphodiester bond hydrolysis
GO:0006271	13	Up	4.208770389635508e-6	0.0011640055974268602	DNA strand elongation involved in DNA replication
GO:0006284	40	Up	5.6144269605978405e-6	0.0013340851307417937	base-excision repair
GO:0060700	11	Up	5.627563096317239e-6	0.0013340851307417937	regulation of ribonuclease activity
GO:0033046	41	Up	5.627694296247172e-6	0.0013340851307417937	negative regulation of sister chromatid segregation
GO:0033048	41	Up	5.627694296247172e-6	0.0013340851307417937	negative regulation of mitotic sister chromatid segregation
GO:2000816	41	Up	5.627694296247172e-6	0.0013340851307417937	negative regulation of mitotic sister chromatid separation
GO:0034501	19	Up	6.535118825715396e-6	0.0014654562404583958	protein localization to kinetochore
GO:1903083	19	Up	6.535118825715396e-6	0.0014654562404583958	protein localization to condensed chromosome
GO:0071166	70	Up	7.092429452491757e-6	0.0015485759780874764	ribonucleoprotein complex localization
GO:0060047	196	Down	7.644999273548651e-6	0.0015903657507976847	heart contraction
GO:0086002	35	Down	7.98593533903273e-6	0.0015903657507976847	cardiac muscle cell action potential involved in contraction
GO:0051985	43	Up	8.21938108868445e-6	0.0015903657507976847	negative regulation of chromosome segregation
GO:0061337	53	Down	8.241365334489946e-6	0.0015903657507976847	cardiac conduction
