ID	NGenes	Direction	PValue	FDR	TERM
GO:0042254	288	Up	1.4131618592327386e-13	1.1725003946054032e-9	ribosome biogenesis
GO:0006364	211	Up	1.2970502163601619e-12	4.366451857906785e-9	rRNA processing
GO:0016072	219	Up	1.5788062641581723e-12	4.366451857906785e-9	rRNA metabolic process
GO:0042273	69	Up	1.1779538980629449e-11	2.4433708730570634e-8	ribosomal large subunit biogenesis
GO:0007416	180	Down	2.0172064256356123e-10	3.347352342699735e-7	synapse assembly
GO:0034470	358	Up	2.5624157712771706e-10	3.543393942381114e-7	ncRNA processing
GO:0060078	110	Down	3.6019654720872803e-10	4.269358217415452e-7	regulation of postsynaptic membrane potential
GO:0034660	436	Up	5.673662177778814e-10	5.640372743874517e-7	ncRNA metabolic process
GO:0007215	44	Down	6.118278256583181e-10	5.640372743874517e-7	glutamate receptor signaling pathway
GO:0098930	65	Down	9.18226216579839e-10	7.239918271370035e-7	axonal transport
GO:0042255	60	Up	9.598541760283282e-10	7.239918271370035e-7	ribosome assembly
GO:0050808	459	Down	1.1473532911655094e-9	7.470794819848523e-7	synapse organization
GO:0097120	73	Down	1.2472733653374638e-9	7.470794819848523e-7	receptor localization to synapse
GO:0140053	109	Up	1.2605897008301715e-9	7.470794819848523e-7	mitochondrial gene expression
GO:0099601	61	Down	1.589626918937379e-9	8.792756364282289e-7	regulation of neurotransmitter receptor activity
GO:0035418	83	Down	2.459207045180656e-9	1.275252553366494e-6	protein localization to synapse
GO:0042274	70	Up	3.779100097199091e-9	1.8444231474388741e-6	ribosomal small subunit biogenesis
GO:0022613	403	Up	5.0844106358099685e-9	2.3436308358508506e-6	ribonucleoprotein complex biogenesis
GO:0099565	95	Down	6.371578866122289e-9	2.6317734799263334e-6	chemical synaptic transmission, postsynaptic
GO:0008088	84	Down	6.612072957466722e-9	2.6317734799263334e-6	axo-dendritic transport
GO:0032543	76	Up	6.661111616060384e-9	2.6317734799263334e-6	mitochondrial translation
GO:2000311	25	Down	7.855052240030794e-9	2.962425837978886e-6	regulation of AMPA receptor activity
GO:0050803	256	Down	9.84143067379633e-9	3.5501891434994848e-6	regulation of synapse structure or activity
GO:0099111	198	Down	1.0659079185661838e-8	3.684932500143178e-6	microtubule-based transport
GO:0035249	103	Down	1.1106804431179394e-8	3.686126254619817e-6	synaptic transmission, glutamatergic
GO:0097479	58	Down	1.2279675158437555e-8	3.918633261136784e-6	synaptic vesicle localization
GO:0048168	65	Down	1.2801372844956017e-8	3.9338144627629654e-6	regulation of neuronal synaptic plasticity
GO:0050807	249	Down	1.8218129820330862e-8	5.398422254260184e-6	regulation of synapse organization
GO:0099068	31	Down	1.9493393018328904e-8	5.576150181777506e-6	postsynapse assembly
GO:0099177	469	Down	2.0332411069228474e-8	5.576150181777506e-6	regulation of trans-synaptic signaling
GO:0050804	468	Down	2.0834115419441084e-8	5.576150181777506e-6	modulation of chemical synaptic transmission
GO:0048813	181	Down	2.9834745594775336e-8	7.735590131245343e-6	dendrite morphogenesis
GO:0099003	239	Down	3.51520388203316e-8	8.838074730069434e-6	vesicle-mediated transport in synapse
GO:0099504	213	Down	3.985519920860709e-8	9.72584081864156e-6	synaptic vesicle cycle
GO:0051965	76	Down	4.632278624183244e-8	1.0833296085522537e-5	positive regulation of synapse assembly
GO:0010970	164	Down	4.7151125132269283e-8	1.0833296085522537e-5	transport along microtubule
GO:0048167	214	Down	4.83104682613395e-8	1.0833296085522537e-5	regulation of synaptic plasticity
GO:0050770	178	Down	5.031726556101399e-8	1.0986377693677186e-5	regulation of axonogenesis
GO:0008089	51	Down	5.372900365992085e-8	1.1430501111958033e-5	anterograde axonal transport
GO:0035176	50	Down	6.391271010691575e-8	1.2621193843550532e-5	social behavior
GO:0051703	50	Down	6.391271010691575e-8	1.2621193843550532e-5	biological process involved in intraspecies interaction between organisms
GO:0007269	170	Down	6.541055023173109e-8	1.2621193843550532e-5	neurotransmitter secretion
GO:0099643	170	Down	6.541055023173109e-8	1.2621193843550532e-5	signal release from synapse
GO:0016079	127	Down	7.417638777076072e-8	1.3987306575772766e-5	synaptic vesicle exocytosis
GO:0099519	12	Down	9.40525618537563e-8	1.7341202348902576e-5	dense core granule cytoskeletal transport
GO:0098698	27	Down	1.0995477451636037e-7	1.9832494873092218e-5	postsynaptic specialization assembly
GO:0099172	57	Down	1.1668344519265464e-7	2.0598352016243735e-5	presynapse organization
GO:0099084	41	Down	1.3776169574801733e-7	2.381268311711041e-5	postsynaptic specialization organization
GO:0050772	98	Down	1.5382296171857358e-7	2.6046308436306224e-5	positive regulation of axonogenesis
GO:0050806	164	Down	1.7197623790337611e-7	2.8512310484773783e-5	positive regulation of synaptic transmission
GO:0002181	91	Up	1.752594714623916e-7	2.8512310484773783e-5	cytoplasmic translation
GO:0099054	51	Down	1.8886687804142658e-7	2.970794854755461e-5	presynapse assembly
GO:1904861	28	Down	1.8976994974332825e-7	2.970794854755461e-5	excitatory synapse assembly
GO:0097091	18	Down	2.2918647151230237e-7	3.521407692847357e-5	synaptic vesicle clustering
GO:0051963	113	Down	2.4486756051592156e-7	3.6939384538192744e-5	regulation of synapse assembly
GO:0060079	86	Down	3.4049418600176537e-7	5.011787701206507e-5	excitatory postsynaptic potential
GO:0007612	165	Down	3.443074592850077e-7	5.011787701206507e-5	learning
GO:0007018	331	Down	4.1243723359869255e-7	5.8999857364971596e-5	microtubule-based movement
GO:0008090	24	Down	4.2493226979549656e-7	5.975700072022432e-5	retrograde axonal transport
GO:0030534	168	Down	4.4733352309067084e-7	6.18587706847216e-5	adult behavior
GO:0007611	278	Down	5.418961137753776e-7	7.285504379514961e-5	learning or memory
GO:0030516	109	Down	5.444151760032875e-7	7.285504379514961e-5	regulation of axon extension
GO:0106027	106	Down	5.731789158316396e-7	7.548675340722403e-5	neuron projection organization
GO:0099173	194	Down	6.540985034725323e-7	8.402401382342777e-5	postsynapse organization
GO:0061387	123	Down	6.703988701387776e-7	8.402401382342777e-5	regulation of extent of cell growth
GO:0007157	41	Down	6.944827524362714e-7	8.402401382342777e-5	heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules
GO:0030490	48	Up	7.046751465163895e-7	8.402401382342777e-5	maturation of SSU-rRNA
GO:0098742	179	Down	7.113464405724145e-7	8.402401382342777e-5	cell-cell adhesion via plasma-membrane adhesion molecules
GO:0001522	18	Up	7.301767536144471e-7	8.402401382342777e-5	pseudouridine synthesis
GO:0032253	14	Down	7.315302350402989e-7	8.402401382342777e-5	dense core granule localization
GO:1901950	14	Down	7.315302350402989e-7	8.402401382342777e-5	dense core granule transport
GO:0060080	21	Down	7.328523077232779e-7	8.402401382342777e-5	inhibitory postsynaptic potential
GO:0072384	82	Down	7.392735939629056e-7	8.402401382342777e-5	organelle transport along microtubule
GO:0000470	29	Up	7.696115979246083e-7	8.569343152298996e-5	maturation of LSU-rRNA
GO:0048172	21	Down	7.829618797311453e-7	8.569343152298996e-5	regulation of short-term neuronal synaptic plasticity
GO:0051966	71	Down	7.849464620642686e-7	8.569343152298996e-5	regulation of synaptic transmission, glutamatergic
GO:0030705	192	Down	8.688878195596348e-7	9.362548362189988e-5	cytoskeleton-dependent intracellular transport
GO:0048675	134	Down	9.310241219559377e-7	9.903470692138994e-5	axon extension
GO:0034643	24	Down	1.0488739551642658e-6	1.0770806832845628e-4	establishment of mitochondrion localization, microtubule-mediated
GO:0047497	24	Down	1.0488739551642658e-6	1.0770806832845628e-4	mitochondrion transport along microtubule
GO:0099175	107	Down	1.0515069946492658e-6	1.0770806832845628e-4	regulation of postsynapse organization
GO:0032252	19	Down	1.075637275715752e-6	1.0883612776358044e-4	secretory granule localization
GO:0061001	55	Down	1.251376689507083e-6	1.243508017860479e-4	regulation of dendritic spine morphogenesis
GO:0000027	25	Up	1.270056484294679e-6	1.243508017860479e-4	ribosomal large subunit assembly
GO:0006836	217	Down	1.2847490302939915e-6	1.243508017860479e-4	neurotransmitter transport
GO:0007409	459	Down	1.2889199654815136e-6	1.243508017860479e-4	axonogenesis
GO:0016358	298	Down	1.4010484410933084e-6	1.336149300661055e-4	dendrite development
GO:0060997	72	Down	1.4248242592941675e-6	1.3384159608489807e-4	dendritic spine morphogenesis
GO:0050890	309	Down	1.4356878451917474e-6	1.3384159608489807e-4	cognition
GO:0097106	35	Down	1.495164031615384e-6	1.3783751078125377e-4	postsynaptic density organization
GO:0099072	90	Down	1.5383375630537717e-6	1.4025919517205652e-4	regulation of postsynaptic membrane neurotransmitter receptor levels
GO:1990138	188	Down	1.561194858839456e-6	1.4079601895424963e-4	neuron projection extension
GO:0097107	20	Down	1.5956843059932712e-6	1.423590611486685e-4	postsynaptic density assembly
GO:2000300	79	Down	1.6382297592725304e-6	1.4360756804731293e-4	regulation of synaptic vesicle exocytosis
GO:0006399	168	Up	1.6442954036994972e-6	1.4360756804731293e-4	tRNA metabolic process
GO:2000463	37	Down	1.679743855981734e-6	1.4517536221958797e-4	positive regulation of excitatory postsynaptic potential
GO:0098962	21	Down	1.742061872173559e-6	1.4879981084885e-4	regulation of postsynaptic neurotransmitter receptor activity
GO:0099560	34	Down	1.7575486878615524e-6	1.4879981084885e-4	synaptic membrane adhesion
GO:0006261	139	Up	1.833157058064903e-6	1.5363337485620705e-4	DNA-dependent DNA replication
GO:0001764	189	Down	1.9926364483753405e-6	1.65329046121702e-4	neuron migration
GO:0000959	48	Up	2.2057229453253356e-6	1.811968641323199e-4	mitochondrial RNA metabolic process
GO:0051648	165	Down	2.323100620313092e-6	1.8896829261507575e-4	vesicle localization
GO:0007626	235	Down	2.3994220047832573e-6	1.932815958610358e-4	locomotory behavior
GO:0021819	15	Down	2.433827544542863e-6	1.9416795324107822e-4	layer formation in cerebral cortex
GO:0060271	294	Down	2.4847184640853455e-6	1.963400866334868e-4	cilium assembly
GO:0001505	228	Down	2.9004817766913703e-6	2.2703110661517262e-4	regulation of neurotransmitter levels
