ID	NGenes	Direction	PValue	FDR	TERM
GO:0042254	288	Up	7.226412558318062e-23	3.569548098988946e-19	ribosome biogenesis
GO:0006364	211	Up	8.604430755668184e-23	3.569548098988946e-19	rRNA processing
GO:0016072	219	Up	1.4894169407351611e-22	4.119230785759877e-19	rRNA metabolic process
GO:0034470	358	Up	2.5073200061776867e-19	5.2008085228140665e-16	ncRNA processing
GO:0042273	69	Up	3.6028534578096726e-18	5.978575027889371e-15	ribosomal large subunit biogenesis
GO:0022613	403	Up	3.337505838670572e-17	4.615214323908289e-14	ribonucleoprotein complex biogenesis
GO:0034660	436	Up	3.1265729753914834e-16	3.7058822824033053e-13	ncRNA metabolic process
GO:0030490	48	Up	1.0921772304904787e-14	1.1327243101724377e-11	maturation of SSU-rRNA
GO:0042274	70	Up	2.6729901427970697e-14	2.464199912754143e-11	ribosomal small subunit biogenesis
GO:0000470	29	Up	1.2087547268307526e-13	1.0029037968514755e-10	maturation of LSU-rRNA
GO:0000462	35	Up	2.3265971169698643e-13	1.754888752681724e-10	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0140053	109	Up	7.239244925037088e-13	5.005334595252726e-10	mitochondrial gene expression
GO:0042255	60	Up	5.0759614195664744e-12	3.2396347613956187e-9	ribosome assembly
GO:0008033	118	Up	7.0095535230483095e-12	4.15416182719513e-9	tRNA processing
GO:0032543	76	Up	1.787187871148878e-11	9.885531844614826e-9	mitochondrial translation
GO:0000469	27	Up	3.750724906492999e-11	1.944985284323276e-8	cleavage involved in rRNA processing
GO:0009451	139	Up	4.128328192717849e-11	2.014867000881176e-8	RNA modification
GO:0000460	35	Up	1.3812897699638805e-10	6.366978456327954e-8	maturation of 5.8S rRNA
GO:0006399	168	Up	6.0685930336391845e-10	2.60224344492608e-7	tRNA metabolic process
GO:0035249	103	Down	6.272733385382861e-10	2.60224344492608e-7	synaptic transmission, glutamatergic
GO:0001522	18	Up	9.368346527127039e-10	3.701389101693954e-7	pseudouridine synthesis
GO:0000478	15	Up	1.4787559787675191e-9	5.334451459058307e-7	endonucleolytic cleavage involved in rRNA processing
GO:0000479	15	Up	1.4787559787675191e-9	5.334451459058307e-7	endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0000154	31	Up	2.0341122150024255e-9	7.032095436614635e-7	rRNA modification
GO:0000466	24	Up	2.2189088867750994e-9	7.3641148134292e-7	maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0050806	164	Down	2.7324280507688475e-9	8.719598283549665e-7	positive regulation of synaptic transmission
GO:0006400	77	Up	6.510408791626337e-9	2.000624509041619e-6	tRNA modification
GO:0000027	25	Up	1.149670258865531e-8	3.4067193349311823e-6	ribosomal large subunit assembly
GO:0006836	217	Down	1.3871633344993888e-8	3.91528551272454e-6	neurotransmitter transport
GO:0000463	16	Up	1.4156751281395226e-8	3.91528551272454e-6	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0001505	228	Down	2.0341405772742705e-8	5.327239776492108e-6	regulation of neurotransmitter levels
GO:0000966	20	Up	2.0546182095666802e-8	5.327239776492108e-6	RNA 5'-end processing
GO:0007611	278	Down	2.2764362374554096e-8	5.723512564293192e-6	learning or memory
GO:0007269	170	Down	2.9304683604401847e-8	6.946884567592061e-6	neurotransmitter secretion
GO:0099643	170	Down	2.9304683604401847e-8	6.946884567592061e-6	signal release from synapse
GO:0050804	468	Down	3.6363089615379374e-8	8.380682070522296e-6	modulation of chemical synaptic transmission
GO:0099177	469	Down	3.7853497035878785e-8	8.488390943423954e-6	regulation of trans-synaptic signaling
GO:0048168	65	Down	5.057500816762187e-8	1.1042653757019964e-5	regulation of neuronal synaptic plasticity
