ID	NGenes	Direction	PValue	FDR	TERM
GO:0042254	288	Up	2.815088629574956e-13	2.3356790359583407e-9	ribosome biogenesis
GO:0006364	211	Up	6.572544345631174e-13	2.3406581966089556e-9	rRNA processing
GO:0016072	219	Up	8.463269362211483e-13	2.3406581966089556e-9	rRNA metabolic process
GO:0035418	83	Down	1.3235630386129783e-11	2.671819650268569e-8	protein localization to synapse
GO:0048168	65	Down	1.610111877948999e-11	2.671819650268569e-8	regulation of neuronal synaptic plasticity
GO:0140053	109	Up	3.308403262044599e-11	4.574970310864006e-8	mitochondrial gene expression
GO:0099504	213	Down	6.394005149158958e-11	7.24441221034557e-8	synaptic vesicle cycle
GO:0007215	44	Down	6.985090717459872e-11	7.24441221034557e-8	glutamate receptor signaling pathway
GO:0032543	76	Up	9.032017537959083e-11	8.108628279442437e-8	mitochondrial translation
GO:0099068	31	Down	1.058677697913866e-10	8.108628279442437e-8	postsynapse assembly
GO:0035249	103	Down	1.075026046448919e-10	8.108628279442437e-8	synaptic transmission, glutamatergic
GO:0042273	69	Up	1.9287880844783436e-10	1.3017053165623084e-7	ribosomal large subunit biogenesis
GO:0099003	239	Down	2.0395527438001697e-10	1.3017053165623084e-7	vesicle-mediated transport in synapse
GO:0050808	459	Down	2.7146750323502926e-10	1.6088327673864555e-7	synapse organization
GO:0048172	21	Down	3.5972745139376285e-10	1.8708366023018824e-7	regulation of short-term neuronal synaptic plasticity
GO:2000311	25	Down	3.9885770831133693e-10	1.8708366023018824e-7	regulation of AMPA receptor activity
GO:0007269	170	Down	4.1561946491350074e-10	1.8708366023018824e-7	neurotransmitter secretion
GO:0099643	170	Down	4.1561946491350074e-10	1.8708366023018824e-7	signal release from synapse
GO:0097120	73	Down	4.2841865064162667e-10	1.8708366023018824e-7	receptor localization to synapse
GO:0098698	27	Down	4.720660776986306e-10	1.9075567252743928e-7	postsynaptic specialization assembly
GO:0099177	469	Down	5.211730962141636e-10	1.9075567252743928e-7	regulation of trans-synaptic signaling
GO:0050804	468	Down	5.341442572537866e-10	1.9075567252743928e-7	modulation of chemical synaptic transmission
GO:0016079	127	Down	5.451800954916872e-10	1.9075567252743928e-7	synaptic vesicle exocytosis
GO:0007416	180	Down	5.666950801764386e-10	1.9075567252743928e-7	synapse assembly
GO:0016082	25	Down	5.747730279843295e-10	1.9075567252743928e-7	synaptic vesicle priming
GO:0034470	358	Up	6.222516608051061e-10	1.949164360492178e-7	ncRNA processing
GO:0034660	436	Up	6.342947780316838e-10	1.949164360492178e-7	ncRNA metabolic process
GO:0021819	15	Down	6.650109842567452e-10	1.9705700487065053e-7	layer formation in cerebral cortex
GO:0006836	217	Down	1.0947713890423318e-9	3.1321786947876647e-7	neurotransmitter transport
GO:0099601	61	Down	1.5790293615821166e-9	4.367068871015607e-7	regulation of neurotransmitter receptor activity
GO:0042274	70	Up	1.8465734032786096e-9	4.894258534614879e-7	ribosomal small subunit biogenesis
GO:0097479	58	Down	1.9205186803733217e-9	4.894258534614879e-7	synaptic vesicle localization
GO:0048167	214	Down	1.9466136150691935e-9	4.894258534614879e-7	regulation of synaptic plasticity
GO:0001505	228	Down	2.012763142091285e-9	4.911734055862174e-7	regulation of neurotransmitter levels
GO:0060078	110	Down	3.452872583477203e-9	7.936290020796602e-7	regulation of postsynaptic membrane potential
GO:0021801	24	Down	3.6061349382516176e-9	7.936290020796602e-7	cerebral cortex radial glia-guided migration
GO:0022030	24	Down	3.6061349382516176e-9	7.936290020796602e-7	telencephalon glial cell migration
GO:0050803	256	Down	3.6347959598682765e-9	7.936290020796602e-7	regulation of synapse structure or activity
