ID	NGenes	Direction	PValue	FDR	TERM
GO:0048168	65	Down	3.209830815119795e-12	2.6631966273048938e-8	regulation of neuronal synaptic plasticity
GO:0035418	83	Down	2.187962129896742e-11	9.076760895876635e-8	protein localization to synapse
GO:0099601	61	Down	4.4051384683294784e-11	1.2183144623909893e-7	regulation of neurotransmitter receptor activity
GO:0048172	21	Down	1.600582732342477e-10	3.3200087325613826e-7	regulation of short-term neuronal synaptic plasticity
GO:0060078	110	Down	6.500434316712887e-10	1.0323830946806868e-6	regulation of postsynaptic membrane potential
GO:0097120	73	Down	7.83205113397918e-10	1.0323830946806868e-6	receptor localization to synapse
GO:0099565	95	Down	9.819672834428719e-10	1.0323830946806868e-6	chemical synaptic transmission, postsynaptic
GO:2000311	25	Down	9.95427836259551e-10	1.0323830946806868e-6	regulation of AMPA receptor activity
GO:0098930	65	Down	1.73116979749778e-9	1.5959462010932313e-6	axonal transport
GO:0042254	288	Up	2.5453939745183125e-9	2.1119133806578442e-6	ribosome biogenesis
GO:0021819	15	Down	3.957196083254734e-9	2.9848050820695027e-6	layer formation in cerebral cortex
GO:0008088	84	Down	4.3976293984545256e-9	3.0405942599147666e-6	axo-dendritic transport
GO:0099003	239	Down	6.851364179168557e-9	3.971218237345586e-6	vesicle-mediated transport in synapse
GO:0048167	214	Down	7.628860130025427e-9	3.971218237345586e-6	regulation of synaptic plasticity
GO:0007269	170	Down	7.680356618766661e-9	3.971218237345586e-6	neurotransmitter secretion
GO:0099643	170	Down	7.680356618766661e-9	3.971218237345586e-6	signal release from synapse
GO:0099111	198	Down	9.277708794658835e-9	3.971218237345586e-6	microtubule-based transport
GO:0035176	50	Down	9.430463847123788e-9	3.971218237345586e-6	social behavior
GO:0051703	50	Down	9.430463847123788e-9	3.971218237345586e-6	biological process involved in intraspecies interaction between organisms
GO:0006364	211	Up	9.572660569713356e-9	3.971218237345586e-6	rRNA processing
GO:0099504	213	Down	1.0287103205232992e-8	4.064385490181816e-6	synaptic vesicle cycle
GO:0016072	219	Up	1.1571224596135995e-8	4.363929567006379e-6	rRNA metabolic process
GO:0050808	459	Down	1.3038633539266582e-8	4.675401883339604e-6	synapse organization
GO:0060079	86	Down	1.4118239802056422e-8	4.675401883339604e-6	excitatory postsynaptic potential
GO:0099177	469	Down	1.4201297188988022e-8	4.675401883339604e-6	regulation of trans-synaptic signaling
GO:0050804	468	Down	1.4651132815093369e-8	4.675401883339604e-6	modulation of chemical synaptic transmission
