ID	NGenes	Direction	PValue	FDR	TERM
GO:0042254	288	Up	3.793765253069239e-18	3.1476870304715477e-14	ribosome biogenesis
GO:0006364	211	Up	3.9100557441204195e-17	1.2399453795257614e-13	rRNA processing
GO:0016072	219	Up	4.483350775674683e-17	1.2399453795257614e-13	rRNA metabolic process
GO:0042273	69	Up	6.853188670886754e-15	1.4215226600586849e-11	ribosomal large subunit biogenesis
GO:0034470	358	Up	1.1990554505825681e-13	1.92176783198642e-10	ncRNA processing
GO:0034660	436	Up	1.3897320708591685e-13	1.92176783198642e-10	ncRNA metabolic process
GO:0140053	109	Up	1.6897875503342658e-13	2.0028810435890576e-10	mitochondrial gene expression
GO:0022613	403	Up	1.798890074931745e-12	1.865673868963586e-9	ribonucleoprotein complex biogenesis
GO:0032543	76	Up	2.3865713884758813e-12	2.200153645576043e-9	mitochondrial translation
GO:0042274	70	Up	3.694474882578933e-12	2.8147785143730788e-9	ribosomal small subunit biogenesis
GO:0042255	60	Up	3.790612238163963e-12	2.8147785143730788e-9	ribosome assembly
GO:0007416	180	Down	4.07103075478811e-12	2.8147785143730788e-9	synapse assembly
GO:0051965	76	Down	9.787829306034405e-12	6.246893827089805e-9	positive regulation of synapse assembly
GO:0007215	44	Down	1.842675201630699e-11	1.0920482962807077e-8	glutamate receptor signaling pathway
GO:0035249	103	Down	6.488495048517498e-11	3.589002894503312e-8	synaptic transmission, glutamatergic
GO:0099068	31	Down	7.44775489410388e-11	3.8621263972737434e-8	postsynapse assembly
GO:0099504	213	Down	9.566127168854786e-11	4.668832771764009e-8	synaptic vesicle cycle
GO:0050808	459	Down	1.5908663952042998e-10	7.144686337243369e-8	synapse organization
GO:0035418	83	Down	1.6361219767099435e-10	7.144686337243369e-8	protein localization to synapse
GO:0097479	58	Down	2.9394463556692575e-10	1.1988302222921587e-7	synaptic vesicle localization
GO:0099003	239	Down	3.0342816280746457e-10	1.1988302222921587e-7	vesicle-mediated transport in synapse
GO:0016079	127	Down	3.7320984595869414e-10	1.4075100417814932e-7	synaptic vesicle exocytosis
GO:0097120	73	Down	3.902919710071145e-10	1.4079358623678387e-7	receptor localization to synapse
