ENSEMBL	logFC	logCPM	F	PValue	FDR	external_gene_name	description
ENSMUSG00000000001	-0.010443008396947312	7.864093987812939	0.009554326923144495	0.9237699833595905	0.9762632265511005	Gnai3	guanine nucleotide binding protein (G protein), alpha inhibiting 3 [Source:MGI Symbol;Acc:MGI:95773]
ENSMUSG00000000028	0.15631278007772687	5.246652997941448	0.6444829758924628	0.4379200867352512	0.7545691210602342	Cdc45	cell division cycle 45 [Source:MGI Symbol;Acc:MGI:1338073]
ENSMUSG00000000031	0.7442557092401852	10.583921699342831	1.9313451554811922	0.19265559041219357	0.54634030687328	H19	H19, imprinted maternally expressed transcript [Source:MGI Symbol;Acc:MGI:95891]
ENSMUSG00000000037	-1.1170123893754786	1.6377527269608545	10.018969784403332	0.008270762400758535	0.16443286107842903	Scml2	Scm polycomb group protein like 2 [Source:MGI Symbol;Acc:MGI:1340042]
ENSMUSG00000000056	-0.692955694569834	5.716193793112369	20.639814397624647	6.983720293362213e-4	0.07523355182530796	Narf	nuclear prelamin A recognition factor [Source:MGI Symbol;Acc:MGI:1914858]
ENSMUSG00000000058	0.9153506545413784	0.7245103285798087	2.9167422080195693	0.113740374934597	0.44428152178312535	Cav2	caveolin 2 [Source:MGI Symbol;Acc:MGI:107571]
ENSMUSG00000000078	-0.6911064763963359	7.257510791234638	3.583318049647009	0.08539355365464145	0.3952564690835143	Klf6	Kruppel-like factor 6 [Source:MGI Symbol;Acc:MGI:1346318]
ENSMUSG00000000085	-0.07005861458148015	4.367598940250658	0.14056893816697796	0.7143495228633885	0.8978341850388364	Scmh1	sex comb on midleg homolog 1 [Source:MGI Symbol;Acc:MGI:1352762]
ENSMUSG00000000088	0.262084072736752	7.060422520864103	3.1176892166812205	0.10321018096755694	0.4272618481548207	Cox5a	cytochrome c oxidase subunit 5A [Source:MGI Symbol;Acc:MGI:88474]
ENSMUSG00000000093	0.9896663449334717	4.15723770905552	2.976180141888166	0.11302188844468604	0.44348757394459676	Tbx2	T-box 2 [Source:MGI Symbol;Acc:MGI:98494]
ENSMUSG00000000094	0.3057958812889137	0.23750258462495363	0.16459175272352025	0.6923662906199761	0.8869093232547101	Tbx4	T-box 4 [Source:MGI Symbol;Acc:MGI:102556]
ENSMUSG00000000103	1.3981699732089958	-1.0518383293323963	5.200774850448498	0.04192662416450523	0.29760113880903855	Zfy2	zinc finger protein 2, Y-linked [Source:MGI Symbol;Acc:MGI:99213]
ENSMUSG00000000120	0.2179788599795991	5.411864895788322	0.23214987492547215	0.639571454656688	0.8632936416306353	Ngfr	nerve growth factor receptor (TNFR superfamily, member 16) [Source:MGI Symbol;Acc:MGI:97323]
ENSMUSG00000000125	-0.3325438950847379	4.375757396511278	0.5737267482512625	0.46489944528114124	0.7718642817081497	Wnt3	wingless-type MMTV integration site family, member 3 [Source:MGI Symbol;Acc:MGI:98955]
ENSMUSG00000000126	-0.04357999598029584	3.7968127505283435	0.015027334802591236	0.9045175031243933	0.9683002885312592	Wnt9a	wingless-type MMTV integration site family, member 9A [Source:MGI Symbol;Acc:MGI:2446084]
ENSMUSG00000000127	-0.27738002968874	4.84193451137754	1.7913492344230129	0.2059114550475412	0.561852790321462	Fer	fer (fms/fps related) protein kinase [Source:MGI Symbol;Acc:MGI:105917]
ENSMUSG00000000131	-0.08129627228342316	6.282151230030519	0.2525025466919997	0.6245390833181981	0.8579989517670232	Xpo6	exportin 6 [Source:MGI Symbol;Acc:MGI:2429950]
ENSMUSG00000000134	-0.5713419978345099	5.5009166308778985	14.064543472647292	0.0028354336928404123	0.11492863237483956	Tfe3	transcription factor E3 [Source:MGI Symbol;Acc:MGI:98511]
ENSMUSG00000000142	-0.6115768693786682	6.377585316071138	6.231452335228256	0.02878012526768138	0.2565938079485941	Axin2	axin 2 [Source:MGI Symbol;Acc:MGI:1270862]
ENSMUSG00000000148	0.3261951142175103	4.464858291937291	4.307798404066426	0.06042016766634265	0.34193500962183904	Brat1	BRCA1-associated ATM activator 1 [Source:MGI Symbol;Acc:MGI:1891679]
ENSMUSG00000000149	-0.17998847915454344	7.351233123534337	1.773340521895197	0.20805313637294126	0.5635936673583843	Gna12	guanine nucleotide binding protein, alpha 12 [Source:MGI Symbol;Acc:MGI:95767]
ENSMUSG00000000154	0.44263179311702305	-1.3286671472800997	0.1568615292556751	0.6991112504967161	0.8901329172381952	Slc22a18	solute carrier family 22 (organic cation transporter), member 18 [Source:MGI Symbol;Acc:MGI:1336884]
ENSMUSG00000000167	-1.5291457763994778	1.1246128645612805	17.28797660427084	0.0013673894212396715	0.092905043395272	Pih1d2	PIH1 domain containing 2 [Source:MGI Symbol;Acc:MGI:1919864]
ENSMUSG00000000168	0.06786521094060365	5.907852623644593	0.2641303444443226	0.6167583340392728	0.854973105763702	Dlat	dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex) [Source:MGI Symbol;Acc:MGI:2385311]
ENSMUSG00000000171	0.28004558695923243	6.668079164632921	2.929686805433351	0.1130230921022958	0.44348757394459676	Sdhd	succinate dehydrogenase complex, subunit D, integral membrane protein [Source:MGI Symbol;Acc:MGI:1914175]
ENSMUSG00000000184	0.03162725025133542	9.514609470371008	0.016122245949180592	0.9011880869535438	0.9671821959137811	Ccnd2	cyclin D2 [Source:MGI Symbol;Acc:MGI:88314]
