ENSEMBL	logFC	logCPM	F	PValue	FDR	external_gene_name	description
ENSMUSG00000000001	0.08075032856446862	7.864093987812939	0.6705167898434163	0.4290550911132057	1	Gnai3	guanine nucleotide binding protein (G protein), alpha inhibiting 3 [Source:MGI Symbol;Acc:MGI:95773]
ENSMUSG00000000028	-0.06347792495672538	5.246652997941448	0.11577933062287007	0.7396222456183869	1	Cdc45	cell division cycle 45 [Source:MGI Symbol;Acc:MGI:1338073]
ENSMUSG00000000031	0.5112851855312854	10.583921699342831	1.175508429508504	0.3019356815067053	1	H19	H19, imprinted maternally expressed transcript [Source:MGI Symbol;Acc:MGI:95891]
ENSMUSG00000000037	0.09892479128977114	1.6377527269608545	0.10462509987627984	0.7519933451465608	1	Scml2	Scm polycomb group protein like 2 [Source:MGI Symbol;Acc:MGI:1340042]
ENSMUSG00000000056	-0.10431510992962682	5.716193793112369	0.5446367700509296	0.4748996296451069	1	Narf	nuclear prelamin A recognition factor [Source:MGI Symbol;Acc:MGI:1914858]
ENSMUSG00000000058	0.44906279334034427	0.7245103285798087	1.0782979614536694	0.31983307862182064	1	Cav2	caveolin 2 [Source:MGI Symbol;Acc:MGI:107571]
ENSMUSG00000000078	0.05597734053732651	7.257510791234638	0.030927608571083048	0.8636492161469875	1	Klf6	Kruppel-like factor 6 [Source:MGI Symbol;Acc:MGI:1346318]
ENSMUSG00000000085	0.08568018888910456	4.367598940250658	0.24095341576445978	0.6324954451200437	1	Scmh1	sex comb on midleg homolog 1 [Source:MGI Symbol;Acc:MGI:1352762]
ENSMUSG00000000088	-0.0667405278187268	7.060422520864103	0.22285528763330698	0.6454594111181288	1	Cox5a	cytochrome c oxidase subunit 5A [Source:MGI Symbol;Acc:MGI:88474]
ENSMUSG00000000093	0.41498071306187445	4.15723770905552	0.686454969022914	0.4253448122272282	1	Tbx2	T-box 2 [Source:MGI Symbol;Acc:MGI:98494]
ENSMUSG00000000094	0.8030910883561105	0.23750258462495363	0.8220895854296769	0.38306645066925793	1	Tbx4	T-box 4 [Source:MGI Symbol;Acc:MGI:102556]
ENSMUSG00000000103	-0.9354266957351305	-1.0518383293323963	0.512600546395648	0.5617716569741996	1	Zfy2	zinc finger protein 2, Y-linked [Source:MGI Symbol;Acc:MGI:99213]
ENSMUSG00000000120	0.7269580550576064	5.411864895788322	2.9685113261224827	0.11343505030846197	0.9729663801416469	Ngfr	nerve growth factor receptor (TNFR superfamily, member 16) [Source:MGI Symbol;Acc:MGI:97323]
ENSMUSG00000000125	-0.8484292481016553	4.375757396511278	3.578729351316775	0.08547472910516078	0.937141730240623	Wnt3	wingless-type MMTV integration site family, member 3 [Source:MGI Symbol;Acc:MGI:98955]
ENSMUSG00000000126	-0.5783904910627088	3.7968127505283435	3.7397335587113543	0.07771233333698893	0.9219675096785945	Wnt9a	wingless-type MMTV integration site family, member 9A [Source:MGI Symbol;Acc:MGI:2446084]
ENSMUSG00000000127	0.03253294491885154	4.84193451137754	0.029790193674440798	0.8658841181207385	1	Fer	fer (fms/fps related) protein kinase [Source:MGI Symbol;Acc:MGI:105917]
ENSMUSG00000000131	0.07258736456894095	6.282151230030519	0.22665050336017467	0.6426879990786339	1	Xpo6	exportin 6 [Source:MGI Symbol;Acc:MGI:2429950]
ENSMUSG00000000134	-0.07920625474358312	5.5009166308778985	0.31093015382008904	0.5875039716115997	1	Tfe3	transcription factor E3 [Source:MGI Symbol;Acc:MGI:98511]
ENSMUSG00000000142	-0.6458969096682206	6.377585316071138	8.842607525089637	0.01205894585483919	0.636588925092153	Axin2	axin 2 [Source:MGI Symbol;Acc:MGI:1270862]
ENSMUSG00000000148	-0.006061720752958461	4.464858291937291	0.0017266910676722292	0.9675475808905809	1	Brat1	BRCA1-associated ATM activator 1 [Source:MGI Symbol;Acc:MGI:1891679]
ENSMUSG00000000149	-0.08636119968086918	7.351233123534337	0.4965614254442065	0.4946514303952728	1	Gna12	guanine nucleotide binding protein, alpha 12 [Source:MGI Symbol;Acc:MGI:95767]
ENSMUSG00000000154	1.1414583994868313	-1.3286671472800997	0.6595414932527444	0.4327565817054587	1	Slc22a18	solute carrier family 22 (organic cation transporter), member 18 [Source:MGI Symbol;Acc:MGI:1336884]
ENSMUSG00000000167	0.2066870893149135	1.1246128645612805	0.3794076532532053	0.5495858488616325	1	Pih1d2	PIH1 domain containing 2 [Source:MGI Symbol;Acc:MGI:1919864]
