ENSEMBL	logFC	logCPM	F	PValue	FDR	external_gene_name	description
ENSMUSG00000000001	0.10217467886420947	7.864092767513754	0.7729074305993264	0.39700731336665196	1	Gnai3	guanine nucleotide binding protein (G protein), alpha inhibiting 3 [Source:MGI Symbol;Acc:MGI:95773]
ENSMUSG00000000028	-0.029012640401426336	5.246650718416706	0.019141036394962	0.8923143391743458	1	Cdc45	cell division cycle 45 [Source:MGI Symbol;Acc:MGI:1338073]
ENSMUSG00000000031	0.028126540334820586	10.58392330193934	0.0038216387800628746	0.9518592715041331	1	H19	H19, imprinted maternally expressed transcript [Source:MGI Symbol;Acc:MGI:95891]
ENSMUSG00000000037	-0.11158159859003107	1.6378707319883243	0.0952081178551284	0.7630797150503144	1	Scml2	Scm polycomb group protein like 2 [Source:MGI Symbol;Acc:MGI:1340042]
ENSMUSG00000000056	-0.044580361372747665	5.716185179411857	0.06809965349956551	0.7986582679715335	1	Narf	nuclear prelamin A recognition factor [Source:MGI Symbol;Acc:MGI:1914858]
ENSMUSG00000000058	0.48382983996115225	0.7252311559251803	0.9532982391044702	0.34862755260796896	1	Cav2	caveolin 2 [Source:MGI Symbol;Acc:MGI:107571]
ENSMUSG00000000078	-0.20936482190502742	7.257508293686239	0.2959418564195198	0.5977174859480134	1	Klf6	Kruppel-like factor 6 [Source:MGI Symbol;Acc:MGI:1346318]
ENSMUSG00000000085	0.11045588929492192	4.367626081242217	0.33034035483321206	0.5763382801418349	1	Scmh1	sex comb on midleg homolog 1 [Source:MGI Symbol;Acc:MGI:1352762]
ENSMUSG00000000088	-0.0011766755574143153	7.060419509204901	5.305455485592347e-5	0.9943110340121932	1	Cox5a	cytochrome c oxidase subunit 5A [Source:MGI Symbol;Acc:MGI:88474]
ENSMUSG00000000093	0.5811453504967626	4.157178993839887	0.5660422863921849	0.4682485260513737	1	Tbx2	T-box 2 [Source:MGI Symbol;Acc:MGI:98494]
ENSMUSG00000000094	0.5850212915762183	0.2372190607998366	0.4157595566526248	0.531570538936965	1	Tbx4	T-box 4 [Source:MGI Symbol;Acc:MGI:102556]
ENSMUSG00000000103	-0.8297209562605423	-1.0518813432858496	0.39515435586581515	0.6036212366568813	1	Zfy2	zinc finger protein 2, Y-linked [Source:MGI Symbol;Acc:MGI:99213]
ENSMUSG00000000120	0.8694613787354062	5.411830550138844	2.934358707393304	0.11582700907997305	1	Ngfr	nerve growth factor receptor (TNFR superfamily, member 16) [Source:MGI Symbol;Acc:MGI:97323]
ENSMUSG00000000125	-0.976569696299197	4.375611714822422	2.9082496065845014	0.11727768416568984	1	Wnt3	wingless-type MMTV integration site family, member 3 [Source:MGI Symbol;Acc:MGI:98955]
ENSMUSG00000000126	-1.1126870099849586	3.7968170120519034	17.118580775884666	0.0014497873331074328	0.6504874404824714	Wnt9a	wingless-type MMTV integration site family, member 9A [Source:MGI Symbol;Acc:MGI:2446084]
ENSMUSG00000000127	-0.008385364694442298	4.841937919297829	0.0013918964145490662	0.9708680010551449	1	Fer	fer (fms/fps related) protein kinase [Source:MGI Symbol;Acc:MGI:105917]
ENSMUSG00000000131	-0.011345767067505298	6.282153257502192	0.004306875464275916	0.9487824152538897	1	Xpo6	exportin 6 [Source:MGI Symbol;Acc:MGI:2429950]
ENSMUSG00000000134	-0.2578225220863467	5.500944620494645	2.054538714392533	0.17791814323749622	1	Tfe3	transcription factor E3 [Source:MGI Symbol;Acc:MGI:98511]
ENSMUSG00000000142	-0.9520515206938612	6.377581331711291	13.245560331329985	0.0037079908224614123	0.7181028532020242	Axin2	axin 2 [Source:MGI Symbol;Acc:MGI:1270862]
ENSMUSG00000000148	-0.039667658091434	4.464876859127658	0.05792607791902994	0.8139678867786913	1	Brat1	BRCA1-associated ATM activator 1 [Source:MGI Symbol;Acc:MGI:1891679]
ENSMUSG00000000149	-0.12222379858995013	7.351233472407073	0.8359670133650052	0.37900083733968726	1	Gna12	guanine nucleotide binding protein, alpha 12 [Source:MGI Symbol;Acc:MGI:95767]
ENSMUSG00000000154	1.0256050652523896	-1.3286095333403978	0.4743558299733904	0.5044118613724351	1	Slc22a18	solute carrier family 22 (organic cation transporter), member 18 [Source:MGI Symbol;Acc:MGI:1336884]
ENSMUSG00000000167	0.07942407522781791	1.1247245751752057	0.04029893524331784	0.844342771633996	1	Pih1d2	PIH1 domain containing 2 [Source:MGI Symbol;Acc:MGI:1919864]
