ENSEMBL	logFC	logCPM	F	PValue	FDR	external_gene_name	description
ENSMUSG00000000001	0.0807114840302509	7.864056706241798	0.28635402651609787	0.6003420612539946	0.7464458243041354	Gnai3	guanine nucleotide binding protein (G protein), alpha inhibiting 3 [Source:MGI Symbol;Acc:MGI:95773]
ENSMUSG00000000028	0.6553139980434377	5.246580243488891	14.637388314105367	0.0016296079122465363	0.03026672268548833	Cdc45	cell division cycle 45 [Source:MGI Symbol;Acc:MGI:1338073]
ENSMUSG00000000031	-1.482524041358665	10.583970421708083	3.8256933457718305	0.06936428310887169	0.1994812779236183	H19	H19, imprinted maternally expressed transcript [Source:MGI Symbol;Acc:MGI:95891]
ENSMUSG00000000037	-0.7684943055841535	1.6427870158627118	4.8689582808917775	0.04320054960553582	0.15017041952987153	Scml2	Scm polycomb group protein like 2 [Source:MGI Symbol;Acc:MGI:1340042]
ENSMUSG00000000056	-0.0020482478904272515	5.715924646260822	4.847588773279494e-5	0.9945364904524929	0.9971468977412327	Narf	nuclear prelamin A recognition factor [Source:MGI Symbol;Acc:MGI:1914858]
ENSMUSG00000000058	-2.3842224219682713	0.7602111240876376	9.242912488862705	0.008261072663038662	0.061131937706486096	Cav2	caveolin 2 [Source:MGI Symbol;Acc:MGI:107571]
ENSMUSG00000000078	-0.5348406728826623	7.25743413805994	2.2608072295801867	0.1534503047126047	0.32232320030830264	Klf6	Kruppel-like factor 6 [Source:MGI Symbol;Acc:MGI:1346318]
ENSMUSG00000000085	-0.3377426938895161	4.368481168950185	3.0389053287586765	0.10156573762613541	0.25003751768865806	Scmh1	sex comb on midleg homolog 1 [Source:MGI Symbol;Acc:MGI:1352762]
ENSMUSG00000000088	0.4438309206811097	7.060330016509899	9.965562149510413	0.006456447236076988	0.05465169236214316	Cox5a	cytochrome c oxidase subunit 5A [Source:MGI Symbol;Acc:MGI:88474]
ENSMUSG00000000093	-0.4468816241212396	4.155307523586298	0.34741655779460584	0.5643539640035722	0.7203515808964182	Tbx2	T-box 2 [Source:MGI Symbol;Acc:MGI:98494]
ENSMUSG00000000094	1.2408824337987492	0.22217992291097577	1.339447954399989	0.26523308751251495	0.4516492116105465	Tbx4	T-box 4 [Source:MGI Symbol;Acc:MGI:102556]
ENSMUSG00000000103	3.0931033185639465	-1.0555107986950778	9.354906239025336	0.00789722377058391	0.05968909197009934	Zfy2	zinc finger protein 2, Y-linked [Source:MGI Symbol;Acc:MGI:99213]
ENSMUSG00000000120	0.09915658840892508	5.410791718397378	0.03220707724927401	0.8599761906261107	0.9210287355425897	Ngfr	nerve growth factor receptor (TNFR superfamily, member 16) [Source:MGI Symbol;Acc:MGI:97323]
ENSMUSG00000000125	0.5526907002952479	4.371057942261939	0.25631569728012515	0.6200237593723041	0.7622354204650423	Wnt3	wingless-type MMTV integration site family, member 3 [Source:MGI Symbol;Acc:MGI:98955]
