ENSEMBL	logFC	logCPM	F	PValue	FDR	external_gene_name	description
ENSMUSG00000000001	0.14516651922331453	7.864056706241798	0.9263132991282839	0.3509503068781792	1	Gnai3	guanine nucleotide binding protein (G protein), alpha inhibiting 3 [Source:MGI Symbol;Acc:MGI:95773]
ENSMUSG00000000028	0.23811944930028503	5.246580243488891	1.9432114815663517	0.1834523347414861	1	Cdc45	cell division cycle 45 [Source:MGI Symbol;Acc:MGI:1338073]
ENSMUSG00000000031	-0.21003912739272929	10.583970421708083	0.08003590847684434	0.781116329468368	1	H19	H19, imprinted maternally expressed transcript [Source:MGI Symbol;Acc:MGI:95891]
ENSMUSG00000000037	-0.08578930047641993	1.6427870158627118	0.06243270457112858	0.8060514712980618	1	Scml2	Scm polycomb group protein like 2 [Source:MGI Symbol;Acc:MGI:1340042]
ENSMUSG00000000056	0.1878061812756708	5.715924646260822	0.4079036773405571	0.5326596971661777	1	Narf	nuclear prelamin A recognition factor [Source:MGI Symbol;Acc:MGI:1914858]
ENSMUSG00000000058	-1.1755802262573745	0.7602111240876376	2.509337838139562	0.13401034204319204	1	Cav2	caveolin 2 [Source:MGI Symbol;Acc:MGI:107571]
ENSMUSG00000000078	0.0426028288449472	7.25743413805994	0.014454907386326935	0.9058980326764703	1	Klf6	Kruppel-like factor 6 [Source:MGI Symbol;Acc:MGI:1346318]
ENSMUSG00000000085	-0.23794055904142464	4.368481168950185	1.5130248113174247	0.23745752033330547	1	Scmh1	sex comb on midleg homolog 1 [Source:MGI Symbol;Acc:MGI:1352762]
ENSMUSG00000000088	0.22123822399940996	7.060330016509899	2.482893033083471	0.13576098383234173	1	Cox5a	cytochrome c oxidase subunit 5A [Source:MGI Symbol;Acc:MGI:88474]
ENSMUSG00000000093	0.5199835478428839	4.155307523586298	0.4774913207664913	0.5001179117951593	1	Tbx2	T-box 2 [Source:MGI Symbol;Acc:MGI:98494]
ENSMUSG00000000094	0.07976913533977396	0.22217992291097577	0.005148494311190671	0.9437466460440993	1	Tbx4	T-box 4 [Source:MGI Symbol;Acc:MGI:102556]
ENSMUSG00000000103	0.453454837199232	-1.0555107986950778	0.1342744602942009	0.7373870005782204	1	Zfy2	zinc finger protein 2, Y-linked [Source:MGI Symbol;Acc:MGI:99213]
ENSMUSG00000000120	0.8867685303307284	5.410791718397378	2.548001468344464	0.13128674804699303	1	Ngfr	nerve growth factor receptor (TNFR superfamily, member 16) [Source:MGI Symbol;Acc:MGI:97323]
ENSMUSG00000000125	-0.36727461573227727	4.371057942261939	0.11178933652451647	0.7427461791952612	1	Wnt3	wingless-type MMTV integration site family, member 3 [Source:MGI Symbol;Acc:MGI:98955]
ENSMUSG00000000126	-0.7606399976424827	3.796997997389021	1.189282251338795	0.29268695630496194	1	Wnt9a	wingless-type MMTV integration site family, member 9A [Source:MGI Symbol;Acc:MGI:2446084]
ENSMUSG00000000127	-0.12226241774794187	4.842044929792707	0.36738666177407336	0.5534158849553286	1	Fer	fer (fms/fps related) protein kinase [Source:MGI Symbol;Acc:MGI:105917]
ENSMUSG00000000131	-0.09696711877503812	6.282213803343087	0.2772111333562235	0.6061664895400571	1	Xpo6	exportin 6 [Source:MGI Symbol;Acc:MGI:2429950]
ENSMUSG00000000134	-0.41316960904276845	5.5017913071791105	1.6603600402942615	0.21707952090455834	1	Tfe3	transcription factor E3 [Source:MGI Symbol;Acc:MGI:98511]
ENSMUSG00000000142	-0.30467116600161076	6.3774636133997245	0.17710594053519754	0.6798410292626789	1	Axin2	axin 2 [Source:MGI Symbol;Acc:MGI:1270862]
ENSMUSG00000000148	-0.19405327167738015	4.465456707460336	1.5760021814085967	0.22837645654569877	1	Brat1	BRCA1-associated ATM activator 1 [Source:MGI Symbol;Acc:MGI:1891679]
ENSMUSG00000000149	0.013368932269140611	7.351243847984584	0.009897911470959064	0.9220565648126023	1	Gna12	guanine nucleotide binding protein, alpha 12 [Source:MGI Symbol;Acc:MGI:95767]
